AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC5m,ATSC6m,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,Atomic_Number,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,MPC,Boiling Point (°C),Target
6.089439787,-8.64,-1.12,0.0,0.0,0.0,0.0,0.431820984,-0.924871318,0.983015531,25.0,197.0,9.4,-50.0,7.434,7.3,73.09,36.7,0.37,153.0,0.29352
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,30.0,139.0,6.4,-60.0,9.394,7.134,31.06,5.1,0.19,-6.3,0.5714
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,30.0,139.0,6.4,-60.0,9.394,7.134,45.09,3.9,0.2,3.2,0.57274
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.13068
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.26036
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.24776
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,67.0,216.0,23.6,33.0,6.022,8.8,73.09,36.7,0.37,153.0,0.38694
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,69.0,227.0,21.8,99.0,6.184,9.32,73.09,36.7,0.37,153.0,0.3628
6.222222222,-4.211072664,-30.1349481,-11.15570934,268.30865,-142.4357142,-1.284416609,-24.15715809,-0.47321322,1.258362168,12.0,173.0,10.6,-40.0,7.646,1.74,73.09,36.7,0.37,153.0,0.23812
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,27.0,192.0,7.5,64.0,7.881,8.86,46.07,24.3,0.3,78.37,0.35164
5.694444444,1.3125,-34.875,39.625,-37.844126,-60.35677856,-0.66429375,-2.061937685,-0.421875,-0.78125,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.14664
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,21.0,211.0,17.8,18.0,6.561,2.99,16.04,32.7,0.18,-161.5,0.04476
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,21.0,211.0,17.8,18.0,6.561,2.99,16.04,32.7,0.18,-161.5,0.04496
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,21.0,211.0,17.8,18.0,6.561,2.99,16.04,32.7,0.18,-161.5,0.0454
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,21.0,211.0,17.8,18.0,6.561,2.99,16.04,32.7,0.18,-161.5,0.00318
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.31546
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.61078
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.30392
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.41818
3.374485597,1.0,-45.5,4.75,-50.24567372,530.5430741,-1.999238776,-13.72631812,-1.116666667,0.305555556,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.16304
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.46546
3.374485597,1.0,-45.5,4.75,-50.24567372,530.5430741,-1.999238776,-13.72631812,-1.116666667,0.305555556,27.0,192.0,7.5,64.0,7.881,8.86,41.05,37.5,0.26,81.6,0.2522
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,30.0,139.0,6.4,-60.0,9.394,7.134,46.07,24.3,0.3,78.37,0.42902
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.23924
2.5,-28.08,-29.42,1.69,87.61725472,77.00815584,-0.031066,5.60363627,-0.325294118,0.585,29.0,140.0,6.7,119.0,7.726,8.933,41.05,37.5,0.26,81.6,0.09084
9.730639731,3.08,-39.83,46.29,-54.73138075,-103.1468025,0.20628,-17.00759267,-0.21,-0.244545455,59.0,239.0,28.2,93.0,5.464,6.77,73.09,36.7,0.37,153.0,0.17974
4.208994709,0.888888889,-42.44444444,-25.77777778,302.011838,-21.964198,-1.979622222,-13.71323248,-0.811965812,0.706349206,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.3771
5.956521739,8.061728395,-24.37037037,-14.81481481,128.7722934,4.396809432,-2.387660494,-13.6613542,-1.152006173,0.402039721,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.52334
10.64102564,-0.872576177,-39.95567867,4.653739612,341.0205921,-395.2272923,-2.251463989,-15.36591958,-0.159510619,1.383336885,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.5022
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,66.0,229.0,24.5,34.0,5.939,8.55,73.09,36.7,0.37,153.0,0.32722
3.049095607,-13.11111111,-36.33333333,5.0,16.02032455,305.4643367,-0.875777778,-3.720835241,-0.789598109,0.413436693,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.41066
