AATS5s,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC3i,AATSC0Z,AATSC2m,AtomicMass,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,32.04,32.7,0.791,0.32,65.0,67.4323
5.132132132,2.0,-90.0,-51.59703123,370.5888096,90.71483263,-21.43958889,7.294117647,1.543624954,151.964,233.0,27.7,83.0,5.67,5.24,73.09,36.7,-0.85,0.37,153.0,604.611
5.132132132,2.0,-90.0,-51.59703123,370.5888096,90.71483263,-21.43958889,7.294117647,1.543624954,151.964,233.0,27.7,83.0,5.67,5.24,73.09,36.7,-0.85,0.37,153.0,633.558
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,150.4,229.0,28.8,16.0,5.644,7.52,73.09,36.7,-0.85,0.37,153.0,147.857
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,151.964,233.0,27.7,83.0,5.67,5.24,73.09,36.7,-0.85,0.37,153.0,146.787
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,151.964,233.0,27.7,83.0,5.67,5.24,73.09,36.7,-0.85,0.37,153.0,145.401
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,157.2,237.0,23.5,13.0,6.15,7.9,73.09,36.7,-0.85,0.37,153.0,134.086
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,158.92535,221.0,25.5,112.0,5.864,8.23,73.09,36.7,-0.85,0.37,153.0,138.668
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,162.5,229.0,24.5,34.0,5.939,8.55,73.09,36.7,-0.85,0.37,153.0,136.654
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,164.93033,216.0,23.6,33.0,6.022,8.8,73.09,36.7,-0.85,0.37,153.0,136.273
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,167.26,235.0,22.7,30.0,6.108,9.07,73.09,36.7,-0.85,0.37,153.0,131.415
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,151.964,233.0,27.7,83.0,5.67,5.24,45.09,3.9,0.67,0.2,3.2,87.6912
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,157.2,237.0,23.5,13.0,6.15,7.9,45.09,3.9,0.67,0.2,3.2,81.7616
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,158.92535,221.0,25.5,112.0,5.864,8.23,45.09,3.9,0.67,0.2,3.2,70.0253
5.619047619,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,-18.63677144,14.38222222,2.971853306,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,434.398
5.0,1.28,17.28,-68.35502905,103.2881151,0.0,-6.989882639,6.56,0.86586326,65.4,139.0,6.4,-60.0,9.394,7.134,60.05,6.15,0.98,0.23,118.0,70.3728
5.0,1.28,17.28,-68.35502905,103.2881151,0.0,-6.989882639,6.56,0.86586326,54.93804,197.0,9.4,-50.0,7.434,7.3,60.05,6.15,0.98,0.23,118.0,100.369
7.862068966,9.01,-66.27,4.290158193,-355.2791089,69.38641121,-16.76817217,7.91,4.203716805,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,32.2,-0.85,0.25,165.1,1639.65
7.862068966,9.01,-66.27,4.290158193,-355.2791089,69.38641121,-16.76817217,7.91,4.203716805,112.41,158.0,7.2,-70.0,8.994,8.69,32.04,32.7,0.791,0.32,65.0,1675.46
7.862068966,9.01,-66.27,4.290158193,-355.2791089,69.38641121,-16.76817217,7.91,4.203716805,63.55,140.0,6.7,119.0,7.726,8.933,87.12,32.2,-0.85,0.25,165.1,1578.13
7.862068966,9.01,-66.27,4.290158193,-355.2791089,69.38641121,-16.76817217,7.91,4.203716805,58.93319,192.0,7.5,64.0,7.881,8.86,87.12,32.2,-0.85,0.25,165.1,1636.94
21.79166667,0.0,-59.0,-206.4246725,22.25755962,0.0,-3.07852192,8.666666667,2.041973111,55.84,194.0,8.4,15.0,7.902,7.874,59.04,6.02,-0.17,0.26,77.0,402.836
3.05026455,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,-21.2120641,6.955017301,-0.588251461,138.9055,240.0,31.1,45.0,5.577,6.15,73.09,36.7,-0.85,0.37,153.0,1102.8257
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,37.8,0.937,0.25,166.0,1740.64
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,711.051
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,54.93804,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.791,0.32,65.0,136.848
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,509.36
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,1255.78
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,89.13,37.7,-0.55,0.2,174.0,1089.15
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,101.14,36.7,0.945,0.2,152.0,1154.95
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,87.12,32.2,-0.85,0.25,165.1,1140.5799
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,162.5,229.0,24.5,34.0,5.939,8.55,73.09,36.7,-0.85,0.37,153.0,2601.16
21.79166667,0.0,-59.0,-206.4246725,22.25755962,0.0,-3.07852192,8.666666667,2.041973111,178.49,212.0,16.2,2.0,6.825,13.3,46.07,24.3,-0.31,0.3,78.37,414.685
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,3549.53
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,44.95591,211.0,17.8,18.0,6.561,2.99,32.04,32.7,0.791,0.32,65.0,2897.25
5.16374269,3.847750865,-17.37024221,-104.8617421,176.0706254,-7.766032344,-8.349339334,7.467128028,0.791278768,118.71,217.0,7.7,107.0,7.344,7.287,32.04,32.7,0.791,0.32,65.0,142.566
5.619047619,9.333333333,-7.444444444,-141.6918397,-52.99056242,81.84243715,2.728500953,7.555555556,2.702140678,144.24,229.0,31.4,185.0,5.525,7.01,73.09,36.7,-0.85,0.37,153.0,624.728
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,327.739
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1182.85
5.182222222,14.88888889,8.888888889,-109.2228995,-493.3278434,158.9044906,-2.779407101,7.222222222,0.202953053,24.305,173.0,10.6,-40.0,7.646,1.74,79.1,12.4,0.68,0.19,115.0,968.097
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,206.554
5.934240363,14.33136095,22.18343195,-140.2220272,-134.711756,445.352123,-8.323233611,7.053254438,-0.39660291,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,336.086
5.619047619,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,-18.63677144,14.38222222,2.971853306,138.9055,240.0,31.1,45.0,5.577,6.15,73.09,36.7,-0.85,0.37,153.0,31.13
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,65.4,139.0,6.4,-60.0,9.394,7.134,101.14,36.7,0.945,0.2,152.0,1517.99
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,58.693,163.0,6.8,112.0,7.64,8.912,87.12,32.2,-0.85,0.25,165.1,964.433
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,2991.33
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1936.41
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1467.47
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1450.72
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,54.93804,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.791,0.32,65.0,158.469
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,89.13,37.7,-0.55,0.2,174.0,2168.11
3.625,-22.93877551,-65.26984127,310.7304631,496.5340144,-134.3034538,3.312192454,9.229024943,2.877464242,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,319.282
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,1437.86
1.902298851,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-2.986244747,6.639714625,-4.781989446,65.4,139.0,6.4,-60.0,9.394,7.134,32.04,32.7,0.791,0.32,65.0,40.8098
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,63.55,140.0,6.7,119.0,7.726,8.933,73.09,36.7,-0.85,0.37,153.0,647.518
4.588374486,21.77777778,-123.962539,-155.6229214,270.910299,-29.47811825,-24.47663291,11.24869927,2.85108185,58.93319,192.0,7.5,64.0,7.881,8.86,88.11,2.25,0.734,0.26,101.0,356.231
4.588374486,21.77777778,-123.962539,-155.6229214,270.910299,-29.47811825,-24.47663291,11.24869927,2.85108185,112.41,158.0,7.2,-70.0,8.994,8.69,88.11,2.25,0.734,0.26,101.0,357.173
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1727.67
10.93265993,16.24,-20.48,-88.84582021,-109.0408894,2.003922905,-11.36796128,7.14,1.946496089,65.4,139.0,6.4,-60.0,9.394,7.134,46.07,24.3,-0.31,0.3,78.37,96.7307
6.5,-5.884297521,-115.8677686,-166.8862228,-51.03945649,0.0,-2.49472335,9.355371901,7.201228534,58.693,163.0,6.8,112.0,7.64,8.912,32.04,32.7,0.791,0.32,65.0,2090.95
5.041666667,19.7037037,-64.96296296,-320.4280523,341.5998015,148.3219169,-20.14249843,8.839506173,1.049631063,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,910.862
6.089439787,-15.0,-30.0,-133.4506,0.0,0.0,-1.484482744,7.333333333,-11.32507474,65.4,139.0,6.4,-60.0,9.394,7.134,129.22,19.9,1.07,0.2,152.0,1371.01
6.089439787,-17.75,-29.75,-44.18353857,0.0,0.0,-0.600939763,7.5,-11.37954215,65.4,139.0,6.4,-60.0,9.394,7.134,32.04,32.7,0.791,0.32,65.0,857.658
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,58.93319,192.0,7.5,64.0,7.881,8.86,78.11,2.2,2.13,0.16,80.1,977.254
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,342.619
5.132132132,2.0,-90.0,-51.59703123,370.5888096,90.71483263,-21.43958889,7.294117647,1.543624954,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1630.92
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,63.55,140.0,6.7,119.0,7.726,8.933,73.09,36.7,-0.85,0.37,153.0,524.099
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,190.769
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,158.102
5.619047619,9.333333333,-7.444444444,-141.6918397,-52.99056242,81.84243715,2.728500953,7.555555556,2.702140678,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1563.82
5.619047619,9.333333333,-7.444444444,-141.6918397,-52.99056242,81.84243715,2.728500953,7.555555556,2.702140678,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1563.82
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,158.568
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,37.8,0.937,0.25,166.0,756.671
6.089439787,-15.0,-30.0,-133.4506,0.0,0.0,-1.484482744,7.333333333,-11.32507474,65.4,139.0,6.4,-60.0,9.394,7.134,101.14,36.7,0.945,0.2,152.0,980.444
4.588374486,21.77777778,-123.962539,-155.6229214,270.910299,-29.47811825,-24.47663291,11.24869927,2.85108185,132.905452,343.0,59.6,46.0,3.894,1.93,73.09,36.7,-0.85,0.37,153.0,455.8
3.515151515,-9.0,3.0,-233.8056233,619.5860344,-1090.310193,-29.09014543,6.25,-2.890111,65.4,139.0,6.4,-60.0,9.394,7.134,123.11,35.3,1.6,0.21,210.0,1266.31
3.515151515,-9.0,3.0,-233.8056233,619.5860344,-1090.310193,-29.09014543,6.25,-2.890111,65.4,139.0,6.4,-60.0,9.394,7.134,123.11,35.3,1.6,0.21,210.0,1132.12
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,54.93804,197.0,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,0.37,153.0,327.198
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,58.693,163.0,6.8,112.0,7.64,8.912,46.07,24.3,-0.31,0.3,78.37,577.525
4.866666667,-4.326530612,-13.7755102,-126.5633675,87.63283563,0.0,-13.41592119,7.530612245,-3.129332876,55.84,194.0,8.4,15.0,7.902,7.874,41.05,37.5,0.34,0.26,81.6,196.62
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,4660.22
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,44.95591,211.0,17.8,18.0,6.561,2.99,32.04,32.7,0.791,0.32,65.0,15.7609
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,44.95591,211.0,17.8,18.0,6.561,2.99,32.04,32.7,0.791,0.32,65.0,14.8927
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,44.95591,211.0,17.8,18.0,6.561,2.99,32.04,32.7,0.791,0.32,65.0,10.3135
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,44.95591,211.0,17.8,18.0,6.561,2.99,32.04,32.7,0.791,0.32,65.0,16.5014
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,44.95591,211.0,17.8,18.0,6.561,2.99,32.04,32.7,0.791,0.32,65.0,17.01
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,44.95591,211.0,17.8,18.0,6.561,2.99,32.04,32.7,0.791,0.32,65.0,12.7966
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,24.305,173.0,10.6,-40.0,7.646,1.74,73.09,36.7,-0.85,0.37,153.0,795.071
5.182222222,14.88888889,8.888888889,-109.2228995,-493.3278434,158.9044906,-2.779407101,7.222222222,0.202953053,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,192.406
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,873.572
12.08333333,0.788927336,-18.5467128,-30.12566296,-105.3155015,0.0,-11.03563284,7.467128028,-0.123804066,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,868.107
12.08333333,0.788927336,-18.5467128,-30.12566296,-105.3155015,0.0,-11.03563284,7.467128028,-0.123804066,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,37.8,0.937,0.25,166.0,1375.67
12.08333333,0.788927336,-18.5467128,-30.12566296,-105.3155015,0.0,-11.03563284,7.467128028,-0.123804066,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,37.8,0.937,0.25,166.0,962.084
5.619047619,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,-18.63677144,14.38222222,2.971853306,173.05,242.0,21.0,-2.0,6.254,6.9,46.07,24.3,-0.31,0.3,78.37,191.989
4.387152778,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,-17.78670351,7.336108221,0.654011749,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,32.2,-0.85,0.25,165.1,141.216
7.862068966,9.01,-66.27,4.290158193,-355.2791089,69.38641121,-16.76817217,7.91,4.203716805,65.4,139.0,6.4,-60.0,9.394,7.134,45.09,3.9,0.67,0.2,3.2,1569.01
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,58.93319,192.0,7.5,64.0,7.881,8.86,46.03,59.0,-0.39,0.24,100.8,62.4179
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,63.55,140.0,6.7,119.0,7.726,8.933,46.03,59.0,-0.39,0.24,100.8,199.873
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,55.84,194.0,8.4,15.0,7.902,7.874,73.09,36.7,-0.85,0.37,153.0,3353.996
4.127572016,15.52,-55.57,-413.8339992,21.53607572,-71.0457373,-1.811831412,8.89,0.891151629,24.305,173.0,10.6,-40.0,7.646,1.74,87.12,32.2,-0.85,0.25,165.1,1980.94
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,114.818,193.0,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,2326.64
6.089439787,-15.0,-30.0,-133.4506,0.0,0.0,-1.484482744,7.333333333,-11.32507474,150.4,229.0,28.8,16.0,5.644,7.52,68.08,13.1,-0.31,0.26,188.0,230.439
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,469.619
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,331.882
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,32.2,-0.85,0.25,165.1,472.826
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,32.2,-0.85,0.25,165.1,562.8
6.089439787,1.0,-90.0,-42.03469954,0.0,0.0,1.412091599,9.5,15.82330225,24.305,173.0,10.6,-40.0,7.646,1.74,46.07,24.3,-0.31,0.3,78.37,214.471
2.406504065,-37.61111111,-85.55555556,-142.4597353,-355.5091315,-495.5604612,4.078073776,6.472222222,-3.792848865,58.93319,192.0,7.5,64.0,7.881,8.86,41.05,37.5,0.34,0.26,81.6,121.702
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,320.545
17.63333333,4.816326531,-82.83673469,-249.9676208,98.47365813,0.0,-2.150515384,9.387755102,4.64666622,164.93033,216.0,23.6,33.0,6.022,8.8,138.12,13.2,2.1,0.28,211.0,164.2
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,50.9415,179.0,12.4,51.0,6.746,6.0,92.14,2.3,2.3,0.23,82.0,1530.87
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,50.9415,179.0,12.4,51.0,6.746,6.0,78.11,2.2,2.13,0.16,80.1,1393.75
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,50.9415,179.0,12.4,51.0,6.746,6.0,84.16,2.02,3.44,0.17,80.7,1525.68
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,50.9415,179.0,12.4,51.0,6.746,6.0,82.15,2.02,3.21,0.18,83.0,1524.3
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,50.9415,179.0,12.4,51.0,6.746,6.0,82.15,2.02,3.21,0.18,83.0,1518.69
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,356.073
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,46.07,24.3,-0.31,0.3,78.37,282.3441
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,46.07,24.3,-0.31,0.3,78.37,811.62
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,786.299
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,114.818,193.0,9.7,29.0,5.786,7.31,73.09,182.0,-0.1,0.26,163.0,1536.36
3.515151515,-9.0,3.0,-233.8056233,619.5860344,-1090.310193,-29.09014543,6.25,-2.890111,65.4,139.0,6.4,-60.0,9.394,7.134,123.11,35.3,1.6,0.21,210.0,1561.02
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,140.116,235.0,29.6,635.0,5.539,6.77,73.09,36.7,-0.85,0.37,153.0,1369.5353
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,106.17,2.38,2.56,0.17,138.0,559.387
5.132132132,2.0,-90.0,-51.59703123,370.5888096,90.71483263,-21.43958889,7.294117647,1.543624954,54.93804,197.0,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,0.37,153.0,233.265
5.132132132,2.0,-90.0,-51.59703123,370.5888096,90.71483263,-21.43958889,7.294117647,1.543624954,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1989.84
3.406349206,7.122769064,-45.40075717,-388.8149985,-209.4552147,-83.18651229,-11.4038192,7.223363981,0.034641831,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,2505.83
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,58.93319,192.0,7.5,64.0,7.881,8.86,60.1,18.8,-0.25,0.29,97.2,975.245
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,58.93319,192.0,7.5,64.0,7.881,8.86,78.11,2.2,2.13,0.16,80.1,960.38
3.813131313,22.55555556,-21.47222222,-336.1865227,279.5326761,-68.13673812,-15.89026657,8.472222222,-0.07420273,26.981538,184.0,8.3,42.0,5.986,2.7,106.17,2.38,3.2,0.19,144.0,730.096
3.813131313,22.55555556,-21.47222222,-336.1865227,279.5326761,-68.13673812,-15.89026657,8.472222222,-0.07420273,26.981538,184.0,8.3,42.0,5.986,2.7,106.17,2.38,2.56,0.17,138.0,796.167
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,63.55,140.0,6.7,119.0,7.726,8.933,73.09,36.7,-0.85,0.37,153.0,390.237
