mof,AATS8m,ATSC6c,ATSC2d,ATSC4d,ATSC8d,ATSC1p,ATSC3p,ATSC1i,ATSC3i,AATSC0m,AATSC8v,GATS3c,GATS4dv,GATS1v,GATS5p,BCUTm-1l,MINdssC,AETA_eta_FL,ZMIC1,GGI10,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
BAZFUF01_clean,60.36818889,0.097417667,-12.11418685,7.152249135,7.837370242,2.04876031,-3.769315624,12.38648055,-21.2120641,32.94325277,-3.294897112,0.573957074,1.075410922,0.730000936,0.825646086,11.67354494,-1.006453482,0.302594029,94.96151371,0.297520661,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2.8,80,24,5431.939239
SUKYIH_clean,88.28769085,-0.449678435,-5.45213912,-11.18990459,-34.96398892,2.511543427,-1.280472241,15.16955776,-7.354231615,33.81497679,-1.068450429,0.555491432,1.109338169,0.737397955,0.98915705,11.67925348,-1.111496914,0.295120124,95.89394129,0.494643404,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,2,80,24,3879.390866
VOGPEO_clean,94.42985792,1.831804663,-10.11815301,5.618379357,-33.0421005,2.723052506,-4.839108736,16.31044975,-26.93677022,33.54613823,3.382679316,0.5651138,1.011651882,0.667816851,1.087342141,11.67566697,-1.394238874,0.293653649,92.97512701,0.281195796,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,80,72,2587.919064
NAWDUN_clean,45.07888066,1.564351606,8.889273356,10.16262976,-2.321799308,2.766718197,-0.580923749,16.52324209,-4.310804893,34.97575957,1.919056448,0.497144179,0.810444769,0.896477731,1.02269013,11.67656912,-1.211707882,0.227408926,98.94879897,0.842567085,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,80,96,2146.364851
ADATIK_clean,87.18723984,-0.479954374,-9.050401753,-1.254200146,-4.147552958,1.52469894,-4.078780588,22.49243477,-30.46992135,32.61621366,-2.137681038,0.742385601,1.127270816,0.694131603,0.954455885,11.69961807,-1.297575305,0.305488765,52.39180204,0.126623814,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,12,4554.594162
RUVKAV_clean,98.11949911,1.143183405,-8.570637119,-2.542936288,6,2.131633444,-4.044724866,12.80268274,-23.33144999,30.98079731,-4.526753563,0.615796991,1.173861941,0.617565952,1.210946855,11.63715238,-1.315814947,0.298075587,65.36727185,0.148964391,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,85,12,3555.753518
EXAXAE_clean,1.016064,0.625491246,-4.335640138,0.567474048,0.498269896,0.512871546,-3.044781431,-0.439374212,-24.15715809,34.82995965,79.5168395,0.788266834,1.226578961,0.736011925,1.307669051,11.72990799,-1.189259259,0.304844413,28.40322139,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,85,24,1198.982034
QIPROY_clean,67.06838377,-0.161219534,-14.0166205,12.05540166,-7.180055402,-2.188532708,-9.255047153,-25.36836491,-43.79509614,34.62219215,0.713060552,1.308694273,1.322687719,0.985259082,0.986957537,11.74787335,-1.201626316,0.299456242,73.07149612,0.097949189,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,85,24,1446.642296
BAZFUF_clean,60.36818889,0.097417667,-12.11418685,7.152249135,7.837370242,2.04876031,-3.769315624,12.38648055,-21.2120641,32.94325277,-3.294897112,0.573957074,1.075410922,0.730000936,0.825646086,11.67354494,-1.006453482,0.302594029,94.96151371,0.297520661,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,5444.416018
BAZGEQ_clean,73.04197731,0.152410724,-16.34911243,6.523668639,16.12278107,1.871982895,-5.684038385,5.154344461,-57.79463757,31.55214939,-5.116956662,0.641172246,1.162029423,0.743908949,0.868810473,11.68507513,-0.980173184,0.310602614,137.3371196,0.396082032,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,4642.768629
FAGQAI_clean,75.94334358,0.153707339,-14.48476454,6.789473684,-3.897506925,2.049284497,-4.196558838,12.48000348,-23.91903004,30.5734314,0.611589269,0.629002102,1.231190832,0.681891808,0.708387496,11.64548364,-1.014628573,0.306098565,97.28531318,0.433731252,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,4031.611023
OYIVEY_clean,78.02833015,-0.173896439,-5.222222222,0.444444444,-0.888888889,1.298208997,-1.567765462,22.23202881,-9.246075309,37.07038491,-9.905665501,0.707480503,0.999577033,0.762232018,0.94854959,11.7005163,-0.916536754,0.243556339,30.17506355,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,96,1499.237969
BINROH_clean,65.42178739,0.179882103,-16.06616257,2.625708885,-7.950850662,2.587954934,-5.473522893,15.55713156,-29.86424533,31.38006423,6.635267151,0.555863249,1.011741891,0.702686588,0.898838323,11.65738717,-0.969946634,0.302319352,133.4277413,0.532292623,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,2,90,24,3592.987763
FIGQUJ_clean,1.016064,0.763438225,-3.76816609,1.166089965,0.169550173,0.110027846,-0.333143791,0.481795743,-1.946221552,42.74078143,43.06526463,0.753719935,1.208096694,1.138055751,0.699034325,11.83618461,-0.947916667,0.199607262,25.69179288,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,90,24,163.158636
ANUGIA_clean,71.00466144,0.829563939,-12.32098765,7.827160494,-8.604938272,2.518709225,-4.531747941,15.22820837,-25.33117867,33.2444885,0.41144059,0.562234748,1.029946322,0.708911454,0.906970708,11.67288402,-1.273845439,0.299293,102.103499,0.330374452,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,100,18,3775.267486
ANUGOG_clean,71.00466144,0.829563939,-12.32098765,7.827160494,-8.604938272,2.518709225,-4.531747941,15.22820837,-25.33117867,33.2444885,0.41144059,0.562234748,1.029946322,0.708911454,0.906970708,11.67288402,-1.273845439,0.299293,102.103499,0.330374452,29,63.546,140,4.48,6.7,119,7.726,8.933,99.131,202,32,-0.38,0,1,0.31,,100,18,4049.908495
LENKIA_clean,16.126992,-1.237237974,-3.08,-7.4,1.96,1.534085493,-2.638470888,8.764936568,-17.00759267,36.66212565,-3.433618402,0.937721866,1.002665245,0.608648549,0.760718921,11.69958735,-1.449315949,0.292136076,38.64260771,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,100,18,1100.172474
SODQOT_clean,1.016064,2.000772516,-4.836734694,-1.285714286,1.530612245,1.22017302,-2.855387314,7.048205643,-17.17443023,35.1171682,81.72840318,0.597938845,1.210144928,0.665297038,1.504254123,11.69541116,-1.374444444,0.29112234,43.31347594,0,29,63.546,140,4.48,6.7,119,7.726,8.933,87.12,165,37.8,-0.77,0,1,0.25,1,100,48,1628.703807
MUNDEG_clean,67.95983264,0.048691094,-6.621399177,1.720164609,2.680384088,0.859577486,-3.189835381,2.601777249,-23.09687731,33.84149785,4.572040967,0.667443338,1.106340412,0.74760676,0.913807306,11.69267675,-1.049531368,0.307280865,42.98647113,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,105,12,2343.968961
UWALEL_clean,74.85695836,2.193994292,-7.835045971,1.517577069,-6.955110871,2.007942944,-3.872220537,9.514936249,-27.17833031,33.21087936,2.20167922,0.583251496,1.101508247,0.692934391,1.189137945,11.69119677,-1.30947781,0.299449969,75.74489272,0.281195796,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,105,72,1613.721829
ADASIJ_clean,80.37975088,1.060365019,-15.1875,-8.25,7.5,1.996084405,-10.71806864,10.95828533,-62.36417298,35.62107631,-9.022976552,0.74745806,1.023802469,0.782175374,1.14206076,11.69594426,-1.377243503,0.287978015,104.8650406,0.470156107,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,115,23,3329.879492
XARPAK_clean,63.77916489,0.645282367,-9.30898466,1.679327977,3.117604091,0.225054495,-3.330814167,-8.956641402,-18.1475224,34.60814431,-9.844359689,0.727102858,1.059530058,0.838470002,0.954629627,11.7050852,-0.950314064,0.289843255,51.17546485,0.099173554,29,63.546,140,4.48,6.7,119,7.726,8.933,99.131,202,32,-0.38,0,1,0.31,,120,20,1225.699987
TUBJAD_clean,51.88382943,-0.005046937,-4.3424,1.3328,-0.5248,-0.578358599,-3.209311218,-11.2856652,-30.81536493,32.00988196,0.07852189,0.996607213,1.267857143,0.876486738,1.033184618,11.73752711,-0.308376795,0.332991826,38.84033063,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,14,120,24,421.148276
KUKPOX_clean,98.5114116,0.332033858,-5.176870748,0.544217687,1.233560091,-0.12508685,-1.576500935,-4.344610868,-6.945602215,33.42286878,-12.15226382,0.718681007,1.078658184,0.828118532,0.92978628,11.70508131,-0.930272109,0.316392887,31.21928988,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,120,72,719.4757717
QIRWAR_clean,53.11604345,-0.015483091,-0.428571429,-4.836734694,0,-0.241767083,-0.197852258,-9.100555028,7.182140438,34.55144829,12.40347996,0.903968296,1.171298668,0.883004896,0.787509246,11.85241296,-1.317731481,0.29382249,21.9044245,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,120,72,917.3067798
VICSIL_clean,1.016064,1.8648871,-5.181818182,0.785123967,1.58677686,-0.054221117,-3.440589407,4.280932788,-18.11075218,55.6760607,85.00198564,0.607612301,1.237112221,0.746526222,1.699057641,11.70021885,-1.492592593,0.282315384,38.13194901,0,29,63.546,140,4.48,6.7,119,7.726,8.933,32.042,64.7,32.7,-0.77,1,1,0.32,14,130,24,1000.955571
TORXIJ_clean,53.11604345,0,-0.408163265,0.510204082,0,-0.198654853,-0.288995428,-1.749438746,0.0669608,32.85428755,12.40347996,1.091886983,0,0.831823579,0.986918241,11.98861917,-1.201626316,0.330775975,14.43782531,0,29,63.546,140,4.48,6.7,119,7.726,8.933,32.042,64.7,32.7,-0.77,1,1,0.32,14,130,72,25.41008131
QANSUV_clean,1.016064,0.306634705,-3.923875433,0.373702422,0.678200692,0.773213643,-1.929407764,13.14231176,-17.23822363,32.35069853,81.39157404,0.661781979,1.333790816,0.657935249,0.776124071,11.7028247,-0.958425926,0.304539377,24.42162826,0,29,63.546,140,4.48,6.7,119,7.726,8.933,41.052,81.6,37.5,-0.34,0,1,0.26,,140,72,443.312312
RUPTED_clean,53.11604345,-0.02292293,-2.218934911,-1.674556213,0,-0.193275295,-0.321503181,-8.609533699,6.865841642,34.23495084,12.40347996,0.760829538,1.163744871,0.846598127,0.985806559,11.81791471,-1.052685185,0.327861611,22.22904234,0,29,63.546,140,4.48,6.7,119,7.726,8.933,41.052,81.6,37.5,-0.34,0,1,0.26,2.4,140,72,60.2416727
YIPDOR_clean,61.97752276,-0.040820404,-9.125,0.875,0.625,-0.859057085,-4.258655471,-9.817319175,-14.14473256,32.19924276,7.033927265,0.683677942,0.880683901,0.905118751,0.924100988,11.68535838,-1.201626316,0.306226346,51.91419037,0.079795939,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,140,120,5373.912462
ZIQJEQ_clean,62.96957633,-0.051517627,-6.835555556,1.893333333,-0.026666667,-1.16885684,-4.157724273,-15.1513442,-18.09739868,33.2072028,-3.911385292,0.708083427,0.83514944,0.967622885,0.819499125,11.70075668,-1.201626316,0.304250539,38.3617684,0.013884298,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,2,140,120,3156.537981
