AATS4s,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC5dv,AATSC4Z,AATSC0v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,HBA,MPC,Boiling Point (°C),Target
4.777777778,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-0.373737374,-2.246031746,43.88351872,28.25032474,6.834358982,3.4984,63.0,151.964,233.0,3.1,27.7,83.0,5.67,5.24,78.13,47.2,-1.3,2.0,0.43,189.0,0.746608
4.777777778,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-0.373737374,-2.246031746,43.88351872,28.25032474,6.834358982,3.4984,64.0,157.2,237.0,3.1,23.5,13.0,6.15,7.9,78.13,47.2,-1.3,2.0,0.43,189.0,0.755928
4.363247863,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,0.706349206,-1.888888889,45.02791735,25.13285217,6.848610706,2.2362,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.06011
4.363247863,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,0.706349206,-1.888888889,45.02791735,25.13285217,6.848610706,2.2362,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,78.11,2.2,2.13,0.0,0.16,80.1,1.04061
23.42361111,186.731022,-3.530864198,-14.48148148,96.44444444,-102.0196617,-252.7082747,-39.74826508,-3.152355556,-0.629115848,-0.251744498,1.121141975,23.3785554,35.03876575,6.81490808,1.6394,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,2.0,0.37,153.0,1.60306
23.42361111,186.731022,-3.530864198,-14.48148148,96.44444444,-102.0196617,-252.7082747,-39.74826508,-3.152355556,-0.629115848,-0.251744498,1.121141975,23.3785554,35.03876575,6.81490808,1.6394,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,78.11,2.2,2.13,0.0,0.16,80.1,1.43826
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,17.03,22.2,-0.23,1.0,0.3,-33.34,1.42129
5.576388889,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,0.402039721,-2.023533951,42.93582616,26.3638878,6.828547389,1.083,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,89.13,37.7,-0.55,2.0,0.2,174.0,1.18974
5.581980186,169.7560012,-8.64,-1.12,50.8,27.7819722,0.0,0.0,0.0,0.0,0.983015531,-1.75733888,34.11764866,21.37334811,3.207106781,-0.2992,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,2.0,0.37,153.0,1.58929
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,31.06,5.1,0.23,1.0,0.19,-6.3,0.866753
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,45.09,3.9,0.67,1.0,0.2,3.2,0.865493
