code,SMILES,Metal,solvents,AATS4dv,AATS4s,AATS0i,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC4dv,AATSC5dv,AATSC4Z,AATSC0v,AATSC1v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,HBD,HBA,MPC,Boiling Point (°„C),Density
EXACUC,C1=CC(=CC=C1C(=O)O)C(=O)O,Ho,"N,N-dimethylformamide",5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,67,164.93033,216,3.1,23.6,33,6.022,8.8,73.09,36.7,-0.85,1,2,0.37,153,1.78512
EXADAJ,C1=CC(=CC=C1C(=O)O)C(=O)O,Er,"N,N-dimethylformamide",5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,68,167.26,235,3.1,22.7,30,6.108,9.07,73.09,36.7,-0.85,1,2,0.37,153,1.8135
EXOYIA,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Eu,dimethylamine,6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,63,151.964,233,3.1,27.7,83,5.67,5.24,45.09,3.9,0.67,1,1,0.2,3.2,1.68887
EXOYOG,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Gd,dimethylamine,6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,64,157.2,237,3.1,23.5,13,6.15,7.9,45.09,3.9,0.67,1,1,0.2,3.2,1.70698
EXOYUM,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Tb,dimethylamine,6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,65,158.92535,221,3.1,25.5,112,5.864,8.23,45.09,3.9,0.67,1,1,0.2,3.2,1.71594
EYULOA,C1=C(SC(=C1)C(=O)O)C(=O)O,Co,dimethylformamide,8.947368421,6.986354776,156.638113,177.2356928,6.536296296,-34.58864198,215.7333333,-301.222032,-357.3657579,-8.112786327,2.851008,5.342441632,-0.574554906,-0.58680776,-7.392748538,42.01586201,8.94936665,35.50134612,6.816819862,1.1445,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1.26506
FAFMAA,C1(=C(C(=O)C1=O)O)O,Zn,acetic,7.5,14.16666667,161.8817872,169.7560012,1.28,9.88,65.6,-216.6322378,-82.63378003,103.2881151,0,0,-2.76,-0.76,-4.31,30.19776182,11.33441226,26.48298308,6.908609699,-1.3062,30,65.4,139,4.45,6.4,-60,9.394,7.134,60.05,6.15,0.98,1,1.68,0.23,118,2.01624
FAMTAO,C1(=C(C(=O)C1=O)O)O,Mn,acetic,7.5,14.16666667,161.8817872,169.7560012,1.28,9.88,65.6,-216.6322378,-82.63378003,103.2881151,0,0,-2.76,-0.76,-4.31,30.19776182,11.33441226,26.48298308,6.908609699,-1.3062,25,54.93804,197,3.72,9.4,-50,7.434,7.3,60.05,6.15,0.98,1,1.68,0.23,118,1.80938
FAPTIB,C1=C(C=C(C=C1C(=O)O)N)C(=O)O,Cd,"N,N-dimethylacetamide",6.225,4.902777778,163.0911809,180.9010091,9.01,-33.17,158.2,-553.7457065,31.02850549,-355.2791089,-1.4004,7.893712932,-0.12,0.445172414,-0.16,42.37728459,9.038133208,30.24642141,6.828292156,0.6652,48,112.41,158,4.33,7.2,-70,8.994,8.69,87.12,32.2,-0.85,1,2,0.25,165.1,1.03027
FAPTOH,C1=C(C=C(C=C1C(=O)O)N)C(=O)O,Cd,methanol,6.225,4.902777778,163.0911809,180.9010091,9.01,-33.17,158.2,-553.7457065,31.02850549,-355.2791089,-1.4004,7.893712932,-0.12,0.445172414,-0.16,42.37728459,9.038133208,30.24642141,6.828292156,0.6652,48,112.41,158,4.33,7.2,-70,8.994,8.69,32.04,32.7,0.791,1,8.2,0.32,65,1.02549
FAPTUN,C1=C(C=C(C=C1C(=O)O)N)C(=O)O,Cu,"N,N-dimethylacetamide",6.225,4.902777778,163.0911809,180.9010091,9.01,-33.17,158.2,-553.7457065,31.02850549,-355.2791089,-1.4004,7.893712932,-0.12,0.445172414,-0.16,42.37728459,9.038133208,30.24642141,6.828292156,0.6652,29,63.55,140,4.48,6.7,119,7.726,8.933,87.12,32.2,-0.85,1,2,0.25,165.1,0.983447
FAPVAV,C1=C(C=C(C=C1C(=O)O)N)C(=O)O,Co,"N,N-dimethylacetamide",6.225,4.902777778,163.0911809,180.9010091,9.01,-33.17,158.2,-553.7457065,31.02850549,-355.2791089,-1.4004,7.893712932,-0.12,0.445172414,-0.16,42.37728459,9.038133208,30.24642141,6.828292156,0.6652,27,58.93319,192,4.3,7.5,64,7.881,8.86,87.12,32.2,-0.85,1,2,0.25,165.1,0.961979
FAVKAP,C(=C/C(=O)O)\C(=O)O,Fe,acetate,7.333333333,6.277777778,165.721098,185.1842767,0,-44,104,-133.043857,12.7780432,22.25755962,-1.5052,0.597289909,-0.166666667,4.625,-1,38.11370535,4.185616201,25.00348062,6.735810142,-0.2882,26,55.84,194,4.06,8.4,15,7.902,7.874,59.04,6.02,-0.17,1,22.3,0.26,77,1.36747
FECXAO,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,La,dimethylformamide,5,3.76984127,154.2092758,148.3284262,-6.633217993,-80.28373702,354.7058824,-754.9589994,-1059.364533,911.6421651,1.811200692,-37.6854775,-0.719723183,0.171033119,-1.525045312,47.67586017,4.931318336,22.88855258,10.25835384,5.7822,57,138.9055,240,3.1,31.1,45,5.577,6.15,73.09,36.7,-0.85,1,2,0.37,153,1.12927
FECXUI,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,dimethylacetamide,5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,87.12,37.8,0.937,1,24.2,0.25,166,0.959059
FEGWIA01,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Co,"N,N-dimethylformamide",4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1.46143
FEJFAE,C1=CN=CC=C1C(=O)O,Mn,methanol,4.526315789,5.280701754,161.9640736,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0,-1.177228786,0.695578231,-2.169709989,44.15534175,1.211667415,31.18866227,3.407582445,0.7798,25,54.93804,197,3.72,9.4,-50,7.434,7.3,32.04,32.7,0.791,1,8.2,0.32,65,1.45626
FIHFAF,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Co,dimethylformamide,8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1.36094
FIHRIZ,C1=CC(=CC=C1C(=O)O)C(=O)O,Ni,"N,N-dimethylformamide",5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,28,58.693,163,4.4,6.8,112,7.64,8.912,73.09,36.7,-0.85,1,2,0.37,153,1.0601
FIJCUX,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,diethylformamide,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,89.13,37.7,-0.55,1,2,0.2,174,1.26326
FIJCUX01,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,"N,N-diethylformamide",5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,101.14,36.7,0.945,1,19.9,0.2,152,1.22326
FILYEG,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Co,"N,N-dimethylacetamide",6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,87.12,32.2,-0.85,1,2,0.25,165.1,1.13331
FINFUG,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Dy,"N,N-dimethylformamide",4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,66,162.5,229,3.1,24.5,34,5.939,8.55,73.09,36.7,-0.85,1,2,0.37,153,0.806783
FISCUI,C(=C/C(=O)O)\C(=O)O,Hf,ethanol,7.333333333,6.277777778,165.721098,185.1842767,0,-44,104,-133.043857,12.7780432,22.25755962,-1.5052,0.597289909,-0.166666667,4.625,-1,38.11370535,4.185616201,25.00348062,6.735810142,-0.2882,72,178.49,212,3.8,16.2,2,6.825,13.3,46.07,24.3,-0.31,1,1,0.3,78.37,2.18844
FISMUS,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Co,"N,N-dimethylformamide",5.285714286,4.60515873,156.9501357,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-1.511296076,-0.034284582,-2.297010362,45.3051226,3.515795889,27.72198532,8.902059979,2.8753,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,0.656308
FITHAS,C1=CN=CC=C1C2=CC=NC=C2,Sc,methanol,3.294117647,2.490196078,158.4882451,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,-0.325294118,0.585,-1.160588235,50.28462104,-1.071597631,22.73366526,0,2.1436,21,44.95591,211,3.34,17.8,18,6.561,2.99,32.04,32.7,0.791,1,8.2,0.32,65,0.722504
FIVYUF,C1=CC(=NC=C1C(=O)O)C(=O)O,Sn,methanol,6.888888889,6.798353909,162.6584682,163.8190406,3.847750865,-26.19377163,126.9411765,-269.8647312,-303.5552589,176.0706254,0.429416955,0.813658439,-1.654491862,-0.142050628,-2.654491862,38.72707241,4.373896611,33.19105079,6.827180347,0.478,50,118.71,217,4.3,7.7,107,7.344,7.287,32.04,32.7,0.791,1,8.2,0.32,65,1.41648
FIXVIU,C1=C(OC(=C1)C(=O)O)C(=O)O,Nd,dimethylformamide,8.947368421,7.286549708,161.8462116,177.2356928,9.333333333,-17.11111111,113.3333333,-100.623878,-180.6764756,-52.99056242,2.723422222,3.522932518,-2.397660819,-0.222222222,-3.485380117,36.02428161,4.74857481,31.31628492,8.826741248,0.676,60,144.24,229,3.1,31.4,185,5.525,7.01,73.09,36.7,-0.85,1,2,0.37,153,1.59556
FIZVOC,C1=CN=CC=C1C(=O)O,Cd,"N,N-dimethylformamide",4.526315789,5.280701754,161.9640736,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0,-1.177228786,0.695578231,-2.169709989,44.15534175,1.211667415,31.18866227,3.407582445,0.7798,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,1.36682
FOHLAS,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Co,dimethylformamide,5.285714286,4.60515873,156.9501357,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-1.511296076,-0.034284582,-2.297010362,45.3051226,3.515795889,27.72198532,8.902059979,2.8753,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1.01495
FOJKIA,C1=CC=C2C(=C1)C(=CC=C2C(=O)O)C(=O)O,Mg,pyridine,6.923076923,4.927350427,155.944943,167.3620175,14.88888889,-12.77777778,173.3333333,1.319498307,-591.311751,-493.3278434,-1.527833333,13.83633736,-0.837606838,-0.768888889,-1.055555556,45.02791735,5.667693064,25.13285217,6.862458426,2.2362,12,24.305,173,3.75,10.6,-40,7.646,1.74,79.1,12.4,0.68,1,1,0.19,115,1.07093
FOPPAE,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,"N,N-dimethylformamide",5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1.36013
FOVPOX,C1=CC(=C(N=C1)C2=C(C=CC=N2)C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",9.84,5.951111111,160.1984138,157.7875841,14.33136095,2.49112426,183.3846154,49.85970613,-221.6783136,-134.711756,-1.86244142,-6.649327216,-0.388639053,-0.910397295,-0.262485207,41.63504387,3.069537123,32.53998956,6.854891369,1.54,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,1.38266
FULQUZ,C1=C(SC(=C1)C(=O)O)C(=O)O,La,dimethylformamide,8.947368421,6.986354776,156.638113,177.2356928,6.536296296,-34.58864198,215.7333333,-301.222032,-357.3657579,-8.112786327,2.851008,5.342441632,-0.574554906,-0.58680776,-7.392748538,42.01586201,8.94936665,35.50134612,6.816819862,1.1445,57,138.9055,240,3.1,31.1,45,5.577,6.15,73.09,36.7,-0.85,1,2,0.37,153,1.79763
FUTYOK,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,"N,N-diethylformamide",8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,30,65.4,139,4.45,6.4,-60,9.394,7.134,101.14,36.7,0.945,1,19.9,0.2,152,1.02626
GACVIS,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Ni,"N,N-dimethylacetamide",8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,28,58.693,163,4.4,6.8,112,7.64,8.912,87.12,32.2,-0.85,1,2,0.25,165.1,1.2141
GACYAN,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,dimethylformamide,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.673254
GAJVEU,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.962773
GAJVIY,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.955059
GAJVIY01,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.956764
GAKNOX,C1=CC(=CC=C1C(=O)O)C(=O)O,Mn,methanol,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,25,54.93804,197,3.72,9.4,-50,7.434,7.3,32.04,32.7,0.791,1,8.2,0.32,65,1.29939
GATBUZ,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,diethylformamide,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,89.13,37.7,-0.55,1,2,0.2,174,0.940397
GAWTOP,COC(=O)COCC(=O)OC,Co,"N,N-dimethylformamide",2.451612903,3.804659498,168.4380517,157.9137083,-22.93877551,-36.31746032,193.8095238,-324.0474866,-499.4345506,496.5340144,3.037381859,-5.960558811,-1.404140151,-0.996882086,-2.209055665,42.43416791,-11.16919647,25.83941448,9.092553028,-0.651,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1.47192
GAWZOW,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Ni,dimethylformamide,4.042553191,3.628841608,156.9972407,163.5479851,-13.11111111,-36.33333333,167.3333333,-258.8195967,-611.9307689,52.37720138,0.637311111,-2.198696973,-0.789598109,0.413436693,-1.725768322,48.34387423,2.377550636,26.90728889,3.418158314,2.4468,28,58.693,163,4.4,6.8,112,7.64,8.912,73.09,36.7,-0.85,1,2,0.37,153,0.931852
GELJAJ,C1=CN=CC=C1CCCC2=CC=NC=C2,Zn,methanol,1.333333333,1.880070547,160.6777201,163.9321569,-25.91676576,-32.25208086,192.5517241,-372.5024683,-588.0280101,172.4550225,0.051761712,8.781807898,-0.288318895,0.159334126,-0.732763339,52.83150211,-0.600644385,24.24728209,0,2.6519,30,65.4,139,4.45,6.4,-60,9.394,7.134,32.04,32.7,0.791,1,8.2,0.32,65,1.41565
GENLAP,C1=CN=CC=C1C2=CC=NC=C2,Cu,"N,N-dimethylformamide",3.294117647,2.490196078,158.4882451,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,-0.325294118,0.585,-1.160588235,50.28462104,-1.071597631,22.73366526,0,2.1436,29,63.55,140,4.48,6.7,119,7.726,8.933,73.09,36.7,-0.85,1,2,0.37,153,1.34511
GEXNUV,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Co,"1,4-dioxane",5.518518519,5.59164952,156.2688719,151.8453747,21.77777778,-3.555555556,348.7096774,-493.1886033,-634.3632205,270.910299,1.52801103,6.164419496,-1.444444444,-1.125925926,-4.250491386,45.52257035,5.127291446,33.38430835,10.33647217,1.9158,27,58.93319,192,4.3,7.5,64,7.881,8.86,88.11,2.25,0.734,0,21.6,0.26,101,1.29568
GEXPAD,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Cd,"1,4-dioxane",5.518518519,5.59164952,156.2688719,151.8453747,21.77777778,-3.555555556,348.7096774,-493.1886033,-634.3632205,270.910299,1.52801103,6.164419496,-1.444444444,-1.125925926,-4.250491386,45.52257035,5.127291446,33.38430835,10.33647217,1.9158,48,112.41,158,4.33,7.2,-70,8.994,8.69,88.11,2.25,0.734,0,21.6,0.26,101,1.41413
GIRYAJ,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.91825
GIRYEN,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)C(=O)O,Zn,ethanol,9.55,7.158333333,163.1445443,180.7044422,16.24,-26.68,142.8,-192.4783853,-380.8834544,-109.0408894,0.70296,8.011112935,-1.585,-0.136969697,-1.95,34.66898892,5.479189112,36.82622382,10.26144391,0.9912,30,65.4,139,4.45,6.4,-60,9.394,7.134,46.07,24.3,-0.31,1,1,0.3,78.37,1.49644
GIXNAE,C(C(=O)O)C(=O)O,Ni,methanol,12.1,17.63333333,169.2598927,184.917652,-5.884297521,-61.68595041,102.9090909,-187.8921326,119.1619995,-51.03945649,0.298513223,0,5.43553719,-7.537190083,9.080991736,36.77743156,2.941452669,24.35835579,6.707444038,-0.4543,28,58.693,163,4.4,6.8,112,7.64,8.912,32.04,32.7,0.791,1,8.2,0.32,65,0.852646
GIYTAK,C1C(CC(CC1C(=O)O)C(=O)O)C(=O)O,Cd,dimethylformamide,3.333333333,4.016460905,165.6618053,177.8265536,19.7037037,-67.62962963,238.6666667,-616.4685823,-59.66304156,341.5998015,5.706592593,10.99426723,-0.946502058,0.549382716,-1.555555556,44.14566778,4.585490377,24.84904209,10.25825415,0.2727,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,1.28519
GOQSIQ,C1=CN=CN1,Zn,"N,N-dibutylformamide",0,1,171.3926447,169.7560012,-15,-14,66,-184.8704272,156.766852,0,0,0,4,0.983015531,9,45.11253556,-4.605803873,23.44582195,0,0.4097,30,65.4,139,4.45,6.4,-60,9.394,7.134,129.22,19.9,1.07,1,24.3,0.2,152,1.00533
GORJEE,C1=NC=NN1,Zn,methanol,0,1,180.2577321,169.7560012,-17.75,-13.75,60,-169.0754127,112.793618,0,0,0,6.25,0.983015531,12.25,37.55963231,-6.221649491,25.648125,0,-0.1953,30,65.4,139,4.45,6.4,-60,9.394,7.134,32.04,32.7,0.791,1,8.2,0.32,65,1.20255
GUBVUU,C1=CN=CC=C1C2=CC=NC=C2,Co,benzene,3.294117647,2.490196078,158.4882451,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,-0.325294118,0.585,-1.160588235,50.28462104,-1.071597631,22.73366526,0,2.1436,27,58.93319,192,4.3,7.5,64,7.881,8.86,78.11,2.2,2.13,0,0,0.16,80.1,1.0935
GUKMAD,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Zn,dimethylformamide,6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1.24004
HAQRID,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",7.7,4.858333333,157.6910737,155.9380745,2,-72,248,-759.8481655,10.48444149,370.5888096,2.212167474,14.31855002,-0.475,1.162162162,-1.45,40.7487866,7.137168855,27.40525765,13.70205868,2.1464,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1.01133
HAWZEM,C1=CN=CC=C1C(=O)O,Cu,"N,N-dimethylformamide",4.526315789,5.280701754,161.9640736,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0,-1.177228786,0.695578231,-2.169709989,44.15534175,1.211667415,31.18866227,3.407582445,0.7798,29,63.55,140,4.48,6.7,119,7.726,8.933,73.09,36.7,-0.85,1,2,0.37,153,1.28409
HEDCEA,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Zn,"N,N-dimethylformamide",5.285714286,4.60515873,156.9501357,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-1.511296076,-0.034284582,-2.297010362,45.3051226,3.515795889,27.72198532,8.902059979,2.8753,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1.27525
HEHVAU,C1=CN=CC=C1C2=CC=NC=C2,Cd,"N,N-dimethylformamide",3.294117647,2.490196078,158.4882451,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,-0.325294118,0.585,-1.160588235,50.28462104,-1.071597631,22.73366526,0,2.1436,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,1.4279
HENSEB,C1=C(OC(=C1)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",8.947368421,7.286549708,161.8462116,177.2356928,9.333333333,-17.11111111,113.3333333,-100.623878,-180.6764756,-52.99056242,2.723422222,3.522932518,-2.397660819,-0.222222222,-3.485380117,36.02428161,4.74857481,31.31628492,8.826741248,0.676,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1.08367
