code,SMILES,Metal,solvents,AATS4dv,AATS4s,AATS0i,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC4dv,AATSC5dv,AATSC4Z,AATSC0v,AATSC1v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,HBD,HBA,MPC,Boiling Point (°„C),Density
AJIFAD,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",5,3.76984127,154.2092758,148.3284262,-6.633217993,-80.28373702,354.7058824,-754.9589994,-1059.364533,911.6421651,1.811200692,-37.6854775,-0.719723183,0.171033119,-1.525045312,47.67586017,4.931318336,22.88855258,10.25835384,5.7822,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,1.19788
AJUPAY,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,"N,N-dimethylacetamide",5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,87.12,32.2,-0.85,1,2,0.25,165.1,1.37794
ALUKIC,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,dimethylsulfoxide,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,58,140.116,235,3.1,29.6,635,5.539,6.77,78.13,47.2,-1.3,1,2,0.43,189,0.730232
ALUKOI,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Sm,dimethylsulfoxide,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,62,150.4,229,3.1,28.8,16,5.644,7.52,78.13,47.2,-1.3,1,2,0.43,189,0.743905
ALUKUO,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Eu,dimethylsulfoxide,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,63,151.964,233,3.1,27.7,83,5.67,5.24,78.13,47.2,-1.3,1,2,0.43,189,0.746608
ALULAV,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Gd,dimethylsulfoxide,5.571428571,4.777777778,159.6194258,155.0103203,3.111111111,-49.77777778,214.6666667,-445.5983463,-373.8629585,472.2680899,2.316860444,12.11691264,-1.507936508,-0.373737374,-2.246031746,43.88351872,3.407202351,28.25032474,6.834358982,3.4984,64,157.2,237,3.1,23.5,13,6.15,7.9,78.13,47.2,-1.3,1,2,0.43,189,0.755928
AMILOY,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,"N,N-dimethylformamide",5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1.06011
AMIMAL,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,benzene,5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,78.11,2.2,2.13,0,0,0.16,80.1,1.04061
ANAWIX,C1(=C(C(=C(C(=C1F)F)C(=O)O)F)F)C(=O)O,In,"N,N-dimethylformamide",26.1875,23.42361111,185.5672853,186.731022,-3.530864198,-14.48148148,96.44444444,-102.0196617,-252.7082747,-39.74826508,-3.152355556,-0.629115848,0.81558642,-0.251744498,1.121141975,23.3785554,6.793018185,35.03876575,6.81490808,1.6394,49,114.818,193,3.1,9.7,29,5.786,7.31,73.09,36.7,-0.85,1,2,0.37,153,1.60306
ANAWOD,C1(=C(C(=C(C(=C1F)F)C(=O)O)F)F)C(=O)O,In,benzene,26.1875,23.42361111,185.5672853,186.731022,-3.530864198,-14.48148148,96.44444444,-102.0196617,-252.7082747,-39.74826508,-3.152355556,-0.629115848,0.81558642,-0.251744498,1.121141975,23.3785554,6.793018185,35.03876575,6.81490808,1.6394,49,114.818,193,3.1,9.7,29,5.786,7.31,78.11,2.2,2.13,0,0,0.16,80.1,1.43826
