AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC6pe,AATSC5dv,AATSC0v,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,Boiling Point (°C),Target
169.7560012,-8.64,-1.12,50.8,27.7819722,0.0,0.983015531,34.11764866,3.207106781,-0.2992,25.0,54.93804,197.0,-50.0,7.434,7.3,73.09,36.7,-0.85,153.0,1.58929
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,30.0,65.4,139.0,-60.0,9.394,7.134,31.06,5.1,0.23,-6.3,0.866753
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,30.0,65.4,139.0,-60.0,9.394,7.134,45.09,3.9,0.67,3.2,0.865493
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.32471
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,1.39505
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,1.3731
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,67.0,164.93033,216.0,33.0,6.022,8.8,73.09,36.7,-0.85,153.0,1.69974
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,69.0,168.93422,227.0,99.0,6.184,9.32,73.09,36.7,-0.85,153.0,1.75133
174.5860367,-4.211072664,-30.1349481,126.9411765,-476.228019,1.075936332,1.258362168,38.72707241,6.828547389,0.478,12.0,24.305,173.0,-40.0,7.646,1.74,73.09,36.7,-0.85,153.0,1.16504
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,27.0,58.93319,192.0,64.0,7.881,8.86,46.07,24.3,-0.31,78.37,1.04668
169.1825683,1.3125,-34.875,135.75,-133.6042903,-1.23140625,-0.78125,42.71128639,6.757084721,0.268,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.17959
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,21.0,44.95591,211.0,18.0,6.561,2.99,16.04,32.7,-0.24,-161.5,1.23442
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,21.0,44.95591,211.0,18.0,6.561,2.99,16.04,32.7,-0.24,-161.5,1.24012
