code,SMILES,Metal,AATS5s,AATS0i,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC0m,AATSC2m,AATSC3m,PEOE_VSA7,EState_VSA2,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,SSA
AFOROD,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,13.8272
AFOTOF,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Eu,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,63,151.964,233,3.1,27.7,83,5.67,5.24,1138.65
AFOTUL,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Sm,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,62,150.4,229,3.1,28.8,16,5.644,7.52,1167.05
AFOVAT,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,La,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,57,138.9055,240,3.1,31.1,45,5.577,6.15,1158.53
AFOVEX,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Ce,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,58,140.116,235,3.1,29.6,635,5.539,6.77,1211.08
AFOVIB,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Gd,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,64,157.2,237,3.1,23.5,13,6.15,7.9,1107.29
AFOVOH,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Nd,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,60,144.24,229,3.1,31.4,185,5.525,7.01,1161.06
AGARUW,C1=C(NN=C1C(=O)O)C(=O)O,La,5.243589744,169.1951772,166.2387708,0.333333333,-29.77777778,-111.8645147,102.3498192,76.98017949,2.786823111,-4.676374281,1.737803091,-0.465512614,7.422222222,-1.29468599,34.48204905,1.504421961,-6.313960492,0,11.38785599,-0.1939,57,138.9055,240,3.1,31.1,45,5.577,6.15,460.5
AGEDIC,C(=C/C(=O)O)\C(=O)O,Ga,21.79166667,165.721098,165.5425733,0,-59,-206.4246725,22.25755962,0,-1.635555556,-3.07852192,0.597289909,-2.672839506,8.666666667,-3.6875,40.18891489,2.041973111,-16.88877358,0,0,-0.2882,31,69.723,187,3.2,8.1,41,5.999,5.91,926.55
AGEQEK,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Ag,11.67102397,160.87749,148.445057,10.23611111,-48.02083333,24.2843839,-141.9674605,184.8932439,1.955833333,-9.325384487,12.00939528,-0.891409465,7.243055556,-1.06712963,33.54745824,2.879117987,-4.921468526,12.13273414,0,0.4794,47,107.868,172,4.44,7.9,126,7.576,10.501,2863.97
