code,SMILES,Metal,AATS5s,AATS0i,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC0m,AATSC2m,AATSC3m,PEOE_VSA7,EState_VSA2,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,SSA
CUFDOX,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,In,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,49,114.818,193,3.1,9.7,29,5.786,7.31,2589.4
CUFFEP,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,In,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,49,114.818,193,3.1,9.7,29,5.786,7.31,2606.63
CUFFIT,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,In,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,49,114.818,193,3.1,9.7,29,5.786,7.31,2610.61
CUFFOZ,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,In,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,49,114.818,193,3.1,9.7,29,5.786,7.31,2599.83
CUFFUF,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,In,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,49,114.818,193,3.1,9.7,29,5.786,7.31,2564.49
CUGXAF,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Co,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,27,58.93319,192,4.3,7.5,64,7.881,8.86,760.027
CUHLID,C1=CN=CC=C1C(=O)O,Co,6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,27,58.93319,192,4.3,7.5,64,7.881,8.86,149.164
CUHLOJ,C1=CN=CC=C1C(=O)O,Co,6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,27,58.93319,192,4.3,7.5,64,7.881,8.86,508.635
CUHPUR,C1=CC(=CC=C1C(=O)O)C(=O)O,Cd,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,48,112.41,158,4.33,7.2,-70,8.994,8.69,2255.4
CUIMDZ01,C1=CN=CN1,Cu,6.089439787,171.3926447,173.9353714,-15,-30,-133.4506,0,0,0,-1.484482744,0,-0.167789001,7.333333333,-2.727272727,34.91960756,-11.32507474,-13.04849407,0,0,0.4097,29,63.55,140,4.48,6.7,119,7.726,8.933,62.6594
CUKXEN,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Cd,11.67102397,160.87749,148.445057,10.23611111,-48.02083333,24.2843839,-141.9674605,184.8932439,1.955833333,-9.325384487,12.00939528,-0.891409465,7.243055556,-1.06712963,33.54745824,2.879117987,-4.921468526,12.13273414,0,0.4794,48,112.41,158,4.33,7.2,-70,8.994,8.69,279.561
CUKXIR,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Mn,11.67102397,160.87749,148.445057,10.23611111,-48.02083333,24.2843839,-141.9674605,184.8932439,1.955833333,-9.325384487,12.00939528,-0.891409465,7.243055556,-1.06712963,33.54745824,2.879117987,-4.921468526,12.13273414,0,0.4794,25,54.93804,197,3.72,9.4,-50,7.434,7.3,103.849
CUMLUT,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cd,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,48,112.41,158,4.33,7.2,-70,8.994,8.69,1052.04
CUMQOQ,C1=CN=CC=C1C2=CC=NC=C2,Zn,2.5,158.4882451,153.3959163,-28.08,-37.42,-168.53654,-97.35287001,0,-0.110664,5.60363627,17.32369574,-0.070175439,6.49,-0.984736842,31.17136264,-6.11030994,-4.654749251,35.39237126,0,2.1436,30,65.4,139,4.45,6.4,-60,9.394,7.134,156.693
CUPLIJ,C1=CN=CC=C1CCCC2=CC=NC=C2,Cd,1.902298851,160.6777201,156.4364924,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-0.017041141,-2.986244747,8.781807898,-0.048808256,6.639714625,-0.898335315,31.94871591,-4.781989446,-4.30568335,54.65483613,0,2.6519,48,112.41,158,4.33,7.2,-70,8.994,8.69,3365.06
CUPLOP,C1=CN=CC=C1CCCC2=CC=NC=C2,Co,1.902298851,160.6777201,156.4364924,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-0.017041141,-2.986244747,8.781807898,-0.048808256,6.639714625,-0.898335315,31.94871591,-4.781989446,-4.30568335,54.65483613,0,2.6519,27,58.93319,192,4.3,7.5,64,7.881,8.86,4493.05
CUPMAC,C1=CN=CC=C1CCCC2=CC=NC=C2,Mn,1.902298851,160.6777201,156.4364924,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-0.017041141,-2.986244747,8.781807898,-0.048808256,6.639714625,-0.898335315,31.94871591,-4.781989446,-4.30568335,54.65483613,0,2.6519,25,54.93804,197,3.72,9.4,-50,7.434,7.3,4539.72
CUPMEG,C1=CN=CC=C1CCCC2=CC=NC=C2,Ni,1.902298851,160.6777201,156.4364924,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-0.017041141,-2.986244747,8.781807898,-0.048808256,6.639714625,-0.898335315,31.94871591,-4.781989446,-4.30568335,54.65483613,0,2.6519,28,58.693,163,4.4,6.8,112,7.64,8.912,3483.13
CURBOH,C1=CN=CC=C1C2=NC(=NC(=N2)C3=CC=NC=C3)C4=CC=NC=C4,Zn,3.515151515,160.2430725,155.5339184,-9,3,-233.8056233,619.5860344,-1090.310193,-1.01805,-29.09014543,1.555658253,-0.00617284,6.25,0.041666667,29.897114,-2.890111,0.1943605,36.39820241,0,3.0576,30,65.4,139,4.45,6.4,-60,9.394,7.134,1254.9
CUWNIT,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Co,3.81712963,156.9501357,152.3226421,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,5.061973841,-13.30086095,2.543059342,-0.115173735,7.4078478,-0.832342449,34.83832983,-0.011326782,-3.910457581,48.53093655,11.12690298,2.8753,27,58.93319,192,4.3,7.5,64,7.881,8.86,702.494
CUWNOZ,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Co,3.81712963,156.9501357,152.3226421,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,5.061973841,-13.30086095,2.543059342,-0.115173735,7.4078478,-0.832342449,34.83832983,-0.011326782,-3.910457581,48.53093655,11.12690298,2.8753,27,58.93319,192,4.3,7.5,64,7.881,8.86,958.821
DACXOV,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Tb,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,65,158.92535,221,3.1,25.5,112,5.864,8.23,336.359
DACXUB,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Ho,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,67,164.93033,216,3.1,23.6,33,6.022,8.8,305.904
DACYAI,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Yb,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,70,173.05,242,3.1,21,-2,6.254,6.9,339.379
DADKOL,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,30,65.4,139,4.45,6.4,-60,9.394,7.134,1749.28
DADKUR,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Co,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,27,58.93319,192,4.3,7.5,64,7.881,8.86,1904.41
DAFHEZ,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Co,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,389.784
DAFHID,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Ni,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,28,58.693,163,4.4,6.8,112,7.64,8.912,375.773
DAFHOJ,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Mn,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,25,54.93804,197,3.72,9.4,-50,7.434,7.3,463.423
DAFJUS,C1=CC(=CC=C1C(=O)O)C(=O)O,Mg,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,12,24.305,173,3.75,10.6,-40,7.646,1.74,2287.73
DAFSOV,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,4.50715
DAFTIQ,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,403.629
DAFZAO,C1=CC(=CC=C1C(=O)O)C(=O)O,Mn,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,25,54.93804,197,3.72,9.4,-50,7.434,7.3,2305.88
DAGDIZ,C1C(CC(CC1C(=O)O)C(=O)O)C(=O)O,Cd,5.041666667,165.6618053,158.9331138,19.7037037,-64.96296296,-320.4280523,341.5998015,148.3219169,6.928148148,-20.14249843,10.99426723,-0.35654321,8.839506173,-0.86617284,41.30935333,1.049631063,-4.16128224,19.26246487,19.26246487,0.2727,48,112.41,158,4.33,7.2,-70,8.994,8.69,235.155
DAHNOQ,C(=O)(C(=O)O)O,Nd,1,170.6536449,177.302349,5.5,-3.5,-88.06441393,69.19802825,0,0,0.069150389,0,2.729166667,8.1875,-0.4375,37.64590369,5.4849955,-2.836109812,0,0,-0.8444,60,144.24,229,3.1,31.4,185,5.525,7.01,176.49
DAHNUW,C(=O)(C(=O)O)O,Nd,1,170.6536449,177.302349,5.5,-3.5,-88.06441393,69.19802825,0,0,0.069150389,0,2.729166667,8.1875,-0.4375,37.64590369,5.4849955,-2.836109812,0,0,-0.8444,60,144.24,229,3.1,31.4,185,5.525,7.01,296.028
DAHPAE,C(=O)(C(=O)O)O,Yb,1,170.6536449,177.302349,5.5,-3.5,-88.06441393,69.19802825,0,0,0.069150389,0,2.729166667,8.1875,-0.4375,37.64590369,5.4849955,-2.836109812,0,0,-0.8444,70,173.05,242,3.1,21,-2,6.254,6.9,395.445
DAJHOM,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Co,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,27,58.93319,192,4.3,7.5,64,7.881,8.86,4831.41
DAJHUS,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Co,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,27,58.93319,192,4.3,7.5,64,7.881,8.86,177.089
DAKZUN,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Tb,3.05026455,154.2092758,145.963084,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,1.850657439,-21.2120641,-37.6854775,0.052267347,6.955017301,-0.633035877,32.94325277,-0.588251461,-3.083480907,87.97801257,16.69035448,5.7822,65,158.92535,221,3.1,25.5,112,5.864,8.23,1049.63
DAMDUT,C1=CN=CC=C1C2=NC(=NC(=N2)C3=CC=NC=C3)C4=CC=NC=C4,Zn,3.515151515,160.2430725,155.5339184,-9,3,-233.8056233,619.5860344,-1090.310193,-1.01805,-29.09014543,1.555658253,-0.00617284,6.25,0.041666667,29.897114,-2.890111,0.1943605,36.39820241,0,3.0576,30,65.4,139,4.45,6.4,-60,9.394,7.134,1379.5
DANZAV,C1=CC(=CC=C1C2=CC(=CC(=C2)C(=O)O)C(=O)O)C(=O)O,Cd,4.387152778,156.8967605,147.4328748,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,2.80024974,-17.78670351,-9.204744818,-0.049994942,7.336108221,-0.866350156,34.41735606,0.654011749,-4.198412408,41.45873833,16.69035448,2.4482,48,112.41,158,4.33,7.2,-70,8.994,8.69,2680.51
DANZEZ,C1=CC(=CC=C1C2=CC(=CC(=C2)C(=O)O)C(=O)O)C(=O)O,Mn,4.387152778,156.8967605,147.4328748,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,2.80024974,-17.78670351,-9.204744818,-0.049994942,7.336108221,-0.866350156,34.41735606,0.654011749,-4.198412408,41.45873833,16.69035448,2.4482,25,54.93804,197,3.72,9.4,-50,7.434,7.3,3110.06
DAPYAW,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,3.05026455,154.2092758,145.963084,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,1.850657439,-21.2120641,-37.6854775,0.052267347,6.955017301,-0.633035877,32.94325277,-0.588251461,-3.083480907,87.97801257,16.69035448,5.7822,48,112.41,158,4.33,7.2,-70,8.994,8.69,1170.46
DAQRET,C(=C/C(=O)O)\C(=O)O,Eu,21.79166667,165.721098,165.5425733,0,-59,-206.4246725,22.25755962,0,-1.635555556,-3.07852192,0.597289909,-2.672839506,8.666666667,-3.6875,40.18891489,2.041973111,-16.88877358,0,0,-0.2882,63,151.964,233,3.1,27.7,83,5.67,5.24,72.6303
DAQRET01,C(=C/C(=O)O)\C(=O)O,Eu,21.79166667,165.721098,165.5425733,0,-59,-206.4246725,22.25755962,0,-1.635555556,-3.07852192,0.597289909,-2.672839506,8.666666667,-3.6875,40.18891489,2.041973111,-16.88877358,0,0,-0.2882,63,151.964,233,3.1,27.7,83,5.67,5.24,71.46
DASTEY01,C1=C(OC(=C1)C(=O)O)C(=O)O,Zn,5.619047619,161.8462116,161.1628664,9.333333333,-7.444444444,-141.6918397,-52.99056242,81.84243715,3.122755556,2.728500953,3.522932518,0.039318304,7.555555556,-0.323671498,35.01026736,2.702140678,-1.786771977,12.13273414,11.52049484,0.676,30,65.4,139,4.45,6.4,-60,9.394,7.134,864.389
DASTEY02,C1=C(OC(=C1)C(=O)O)C(=O)O,Zn,5.619047619,161.8462116,161.1628664,9.333333333,-7.444444444,-141.6918397,-52.99056242,81.84243715,3.122755556,2.728500953,3.522932518,0.039318304,7.555555556,-0.323671498,35.01026736,2.702140678,-1.786771977,12.13273414,11.52049484,0.676,30,65.4,139,4.45,6.4,-60,9.394,7.134,1519.715288
DAXKIY,C1=C(N=CC(=N1)C(=O)O)C(=O)O,In,5.319444444,166.5451258,165.4079182,-3.65625,-23.734375,-63.90082401,163.5818227,1.036855707,0.1233625,4.414590027,0.00926724,-0.361944444,6.984375,-0.949375,32.47777219,0.471322222,-4.591552078,0,11.38785599,-0.127,49,114.818,193,3.1,9.7,29,5.786,7.31,151.1
DAXKOE,C1=C(N=CC(=N1)C(=O)O)C(=O)O,In,5.319444444,166.5451258,165.4079182,-3.65625,-23.734375,-63.90082401,163.5818227,1.036855707,0.1233625,4.414590027,0.00926724,-0.361944444,6.984375,-0.949375,32.47777219,0.471322222,-4.591552078,0,11.38785599,-0.127,49,114.818,193,3.1,9.7,29,5.786,7.31,150.014
DAYYIN,C1=CN=CN1,Co,6.089439787,171.3926447,173.9353714,-15,-30,-133.4506,0,0,0,-1.484482744,0,-0.167789001,7.333333333,-2.727272727,34.91960756,-11.32507474,-13.04849407,0,0,0.4097,27,58.93319,192,4.3,7.5,64,7.881,8.86,956.791
DEDGIF,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,770.582
DEJJEK,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Sc,11.67102397,160.87749,148.445057,10.23611111,-48.02083333,24.2843839,-141.9674605,184.8932439,1.955833333,-9.325384487,12.00939528,-0.891409465,7.243055556,-1.06712963,33.54745824,2.879117987,-4.921468526,12.13273414,0,0.4794,21,44.95591,211,3.34,17.8,18,6.561,2.99,44.861
DEJTES,C1C(CC(CC1C(=O)O)C(=O)O)C(=O)O,Cd,5.041666667,165.6618053,158.9331138,19.7037037,-64.96296296,-320.4280523,341.5998015,148.3219169,6.928148148,-20.14249843,10.99426723,-0.35654321,8.839506173,-0.86617284,41.30935333,1.049631063,-4.16128224,19.26246487,19.26246487,0.2727,48,112.41,158,4.33,7.2,-70,8.994,8.69,13.09
DEJTIW,C1C(CC(CC1C(=O)O)C(=O)O)C(=O)O,Cd,5.041666667,165.6618053,158.9331138,19.7037037,-64.96296296,-320.4280523,341.5998015,148.3219169,6.928148148,-20.14249843,10.99426723,-0.35654321,8.839506173,-0.86617284,41.30935333,1.049631063,-4.16128224,19.26246487,19.26246487,0.2727,48,112.41,158,4.33,7.2,-70,8.994,8.69,20.3856
DEKHEH,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Mn,3.81712963,156.9501357,152.3226421,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,5.061973841,-13.30086095,2.543059342,-0.115173735,7.4078478,-0.832342449,34.83832983,-0.011326782,-3.910457581,48.53093655,11.12690298,2.8753,25,54.93804,197,3.72,9.4,-50,7.434,7.3,966.847
DEKHUX,C1=CN=CC=C1C2=CC=NC=C2,Mn,2.5,158.4882451,153.3959163,-28.08,-37.42,-168.53654,-97.35287001,0,-0.110664,5.60363627,17.32369574,-0.070175439,6.49,-0.984736842,31.17136264,-6.11030994,-4.654749251,35.39237126,0,2.1436,25,54.93804,197,3.72,9.4,-50,7.434,7.3,1112.57
DENBUW,C1=CC=C2C(=C1)C(=CC=C2C(=O)O)C(=O)O,Cd,5.182222222,155.944943,147.5058011,14.88888889,8.888888889,-109.2228995,-493.3278434,158.9044906,-1.866666667,-2.779407101,13.83633736,-0.068888889,7.222222222,0.177777778,33.988018,0.202953053,0.83975892,22.90518257,11.12690298,2.2362,48,112.41,158,4.33,7.2,-70,8.994,8.69,1417.9
DENFUA,C1=CN=C(C=N1)C(=O)O,Mn,5.296296296,166.6942374,167.7083355,-7.893491124,-12.81065089,-88.37545569,29.00710386,0,-0.495536095,6.865841642,0.565988507,-0.031212153,7.301775148,-0.674244784,34.23495084,-2.877060652,-3.325332326,0,5.693927995,0.1748,25,54.93804,197,3.72,9.4,-50,7.434,7.3,11.0366
DENGAH,C1=CN=C(C=N1)C(=O)O,Mn,5.296296296,166.6942374,167.7083355,-7.893491124,-12.81065089,-88.37545569,29.00710386,0,-0.495536095,6.865841642,0.565988507,-0.031212153,7.301775148,-0.674244784,34.23495084,-2.877060652,-3.325332326,0,5.693927995,0.1748,25,54.93804,197,3.72,9.4,-50,7.434,7.3,66.1806
DEPJIR01,C(=O)O,Zn,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,30,65.4,139,4.45,6.4,-60,9.394,7.134,7.59862
DEPXUS,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Eu,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,63,151.964,233,3.1,27.7,83,5.67,5.24,882.593
DEPYAZ,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Nd,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,60,144.24,229,3.1,31.4,185,5.525,7.01,927.15
DEPYED,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Sm,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,62,150.4,229,3.1,28.8,16,5.644,7.52,869.167
DERBIO,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Co,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,27,58.93319,192,4.3,7.5,64,7.881,8.86,1485.95
DEYCAN,C1=CC=C(C(=C1)C(=O)O)C(=O)O,Mn,10.7654321,159.2036613,151.6270775,15.0617284,6.518518519,-139.4970291,-230.409101,0,-2.148641975,-8.194441511,3.21254212,-0.305773787,7.728395062,0.197530864,36.15315736,0.602016249,0.896355591,12.13273414,11.12690298,1.083,25,54.93804,197,3.72,9.4,-50,7.434,7.3,42.3107
DIBDID,C1=C(SC(=C1)C(=O)O)C(=O)O,Zn,5.619047619,156.638113,149.5941208,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,3.314403556,-18.63677144,5.342441632,-1.383984878,14.38222222,-0.518454106,63.03764033,2.971853306,-2.89055528,12.13273414,9.754294387,1.1445,30,65.4,139,4.45,6.4,-60,9.394,7.134,17.8071
DIDBEZ,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Co,3.049095607,156.9972407,150.3053673,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,0.528467882,-3.720835241,-2.198696973,0.019483025,6.972222222,-0.659722222,33.12236148,-2.896483922,-3.185992089,35.39237126,0,2.4468,27,58.93319,192,4.3,7.5,64,7.881,8.86,1411.05
DIDBID,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Co,3.049095607,156.9972407,150.3053673,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,0.528467882,-3.720835241,-2.198696973,0.019483025,6.972222222,-0.659722222,33.12236148,-2.896483922,-3.185992089,35.39237126,0,2.4468,27,58.93319,192,4.3,7.5,64,7.881,8.86,1451.62
DIDBOJ,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Co,3.049095607,156.9972407,150.3053673,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,0.528467882,-3.720835241,-2.198696973,0.019483025,6.972222222,-0.659722222,33.12236148,-2.896483922,-3.185992089,35.39237126,0,2.4468,27,58.93319,192,4.3,7.5,64,7.881,8.86,1442.77
DIDBOJ01,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Co,3.049095607,156.9972407,150.3053673,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,0.528467882,-3.720835241,-2.198696973,0.019483025,6.972222222,-0.659722222,33.12236148,-2.896483922,-3.185992089,35.39237126,0,2.4468,27,58.93319,192,4.3,7.5,64,7.881,8.86,1448.58
