AATS5s,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC2m,AATSC3m,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,HBA,MPC,Boiling Point (°C),Target
4.075757576,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,-0.355741292,-2.662865825,3.4984,63.0,151.964,233.0,3.1,27.7,83.0,5.67,5.24,78.13,47.2,-1.3,2.0,0.43,189.0,3622.64
4.075757576,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,-0.355741292,-2.662865825,3.4984,64.0,157.2,237.0,3.1,23.5,13.0,6.15,7.9,78.13,47.2,-1.3,2.0,0.43,189.0,3555.28
4.208994709,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,0.202953053,-4.00288144,2.2362,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,915.091
4.208994709,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,0.202953053,-4.00288144,2.2362,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,78.11,2.2,2.13,0.0,0.16,80.1,944.218
27.33816425,174.3109135,-3.530864198,-18.48148148,-3.909604166,-39.74826508,53.39404833,-3.638024691,-43.23549187,-0.629115848,-2.785758823,5.358024691,-0.560044893,-0.375275485,-2.189414079,1.6394,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,2.0,0.37,153.0,626.031
27.33816425,174.3109135,-3.530864198,-18.48148148,-3.909604166,-39.74826508,53.39404833,-3.638024691,-43.23549187,-0.629115848,-2.785758823,5.358024691,-0.560044893,-0.375275485,-2.189414079,1.6394,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,78.11,2.2,2.13,0.0,0.16,80.1,974.851
6.939393939,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,2.188865482,-6.462334248,0.7812,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,17.03,22.2,-0.23,1.0,0.3,-33.34,483.699
5.956521739,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,0.602016249,-2.772311348,1.083,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,89.13,37.7,-0.55,2.0,0.2,174.0,372.152
6.089439787,185.0509644,-8.64,2.28,-82.42248586,0.0,0.0,0.0,0.431820984,0.0,-1.44,10.16,1.14,-22.0557955,5.7501955,-0.2992,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,2.0,0.37,153.0,433.613
4.874396135,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,0.602016249,-2.772311348,1.083,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,31.06,5.1,0.23,1.0,0.19,-6.3,1878.51
