code,SMILES,Metal,AATS5s,AATS6v,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,PEOE_VSA10,SMR_VSA9,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,PV
AFOROD,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.02906
AFOTOF,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Eu,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,63,151.964,233,3.1,27.7,83,5.67,5.24,0.41108
AFOTUL,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Sm,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,62,150.4,229,3.1,28.8,16,5.644,7.52,0.41622
AFOVAT,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,La,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,57,138.9055,240,3.1,31.1,45,5.577,6.15,0.40554
AFOVEX,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Ce,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,58,140.116,235,3.1,29.6,635,5.539,6.77,0.42182
AFOVIB,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Gd,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,64,157.2,237,3.1,23.5,13,6.15,7.9,0.4102
AFOVOH,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Nd,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,60,144.24,229,3.1,31.4,185,5.525,7.01,0.41382
AGARUW,C1=C(NN=C1C(=O)O)C(=O)O,La,5.243589744,160.8742979,0.333333333,-28.11111111,-28.88888889,24.33333333,-10.70679012,97.9253843,183.2765859,-111.8645147,102.3498192,-1.696137333,-4.676374281,-1.126984127,0.957264957,1.504421961,76.98017949,5.693927995,0,0.949074074,57,138.9055,240,3.1,31.1,45,5.577,6.15,0.29076
AGEDIC,C(=C/C(=O)O)\C(=O)O,Ga,21.79166667,82.01363063,0,-44,9,27.50617284,-42.7654321,269.7211129,-219.2622782,-206.4246725,22.25755962,-1.2638,-3.07852192,-0.166666667,4.625,2.041973111,23.35832815,0,0,0,31,69.723,187,3.2,8.1,41,5.999,5.91,0.44296
AGEQEK,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Ag,11.67102397,162.5360885,10.23611111,-54.52083333,-6.847222222,56.21141975,-40.11342593,242.1141365,139.2319556,24.2843839,-141.9674605,-4.563447222,-9.325384487,-0.957799145,0.902369281,2.879117987,18.48932439,0,0,1.022962963,47,107.868,172,4.44,7.9,126,7.576,10.501,0.57728
