code,SMILES,Metal,AATS5s,AATS6v,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,PEOE_VSA10,SMR_VSA9,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,PV
HINFER,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Pb,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,82,207,202,3.9,6.8,34,7.417,11.342,0.11282
HIQKOJ,C1=CC(=CC=C1C(=O)O)C(=O)O,U,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,92,238.0289,240,3.4,27.4,51,6.194,18.95,0.08244
HISFUM,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Na,4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,11,22.9897693,227,2.85,23.6,53,5.139,0.97,0.15426
HISGIB,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Cs,4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,55,132.905452,343,2.18,59.6,46,3.894,1.93,0.2483
HIVQAG,C1=CN=CC=C1C(=O)O,Mn,6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.16248
HIYBEZ,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Fe,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,26,55.84,194,4.06,8.4,15,7.902,7.874,0.38276
HIYBUN,C1=CN=CC=C1C2=NC(=NC(=N2)C3=CC=NC=C3)C4=CC=NC=C4,Zn,3.515151515,262.0000918,-9,-3,-65.25,-1.925925926,-0.444444444,99.502764,-378.735348,-233.8056233,619.5860344,-1.238475,-29.09014543,-0.315217391,-0.295454545,-2.890111,-12.97988325,0,34.16356797,11.26185185,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.48426
HIYRAJ,C1=CN=CC=C1C2=NC(=NC(=N2)C3=CC=NC=C3)C4=CC=NC=C4,Zn,3.515151515,262.0000918,-9,-3,-65.25,-1.925925926,-0.444444444,99.502764,-378.735348,-233.8056233,619.5860344,-1.238475,-29.09014543,-0.315217391,-0.295454545,-2.890111,-12.97988325,0,34.16356797,11.26185185,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.4258
HIYZEV01,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Mn,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.19862
HOCDOU,C(=O)(C(=O)O)O,Mn,1,146.7274789,5.5,-6.5,0,2.722222222,21.83333333,104.9856391,0,-88.06441393,69.19802825,-1.506975,0.069150389,-6.5625,14.0625,5.4849955,23.35832815,0,0,0,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.34086
HOFSOL,C1=CN=CC=N1,Cu,1,146.7274789,-21.44,-12.88,0,-3.44,-1.68,98.028002,0,-134.3050881,128.2032447,0.137984,9.291412193,0.44,4.84,-10.856572,23.35832815,0,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,0.61046
HOGPUQ,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Er,5.132132132,215.6352135,2,-72,-76,70.44444444,-12,900.4250681,-387.2845392,-51.59703123,370.5888096,-4.511168166,-21.43958889,-0.475,1.162162162,1.543624954,1.889892347,0,11.12690298,6.464397203,68,167.26,235,3.1,22.7,30,6.108,9.07,0.10348
HOGQAX,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Yb,5.132132132,215.6352135,2,-72,-76,70.44444444,-12,900.4250681,-387.2845392,-51.59703123,370.5888096,-4.511168166,-21.43958889,-0.475,1.162162162,1.543624954,1.889892347,0,11.12690298,6.464397203,70,173.05,242,3.1,21,-2,6.254,6.9,0.10238
HOGQEB,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Sm,5.132132132,215.6352135,2,-72,-76,70.44444444,-12,900.4250681,-387.2845392,-51.59703123,370.5888096,-4.511168166,-21.43958889,-0.475,1.162162162,1.543624954,1.889892347,0,11.12690298,6.464397203,62,150.4,229,3.1,28.8,16,5.644,7.52,0.10848
HOGSEC,C1C2CC3(CC1CC(C2)(C3)CC(=O)O)CC(=O)O,Th,3.276315789,101.6551338,-21.65927978,-44.32132964,-155.4903047,58.09027778,-20.95833333,-1309.105077,1395.282276,115.7946341,-1482.261359,4.971077285,-37.96485964,0.441400151,-0.472760849,2.12672619,26.87681735,0,0,0,90,232.038,237,3.2,32.1,113,6.08,11.72,0.0373
HOGSIG,C1=CN=CC=C1C(=O)O,Ni,6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,28,58.693,163,4.4,6.8,112,7.64,8.912,0.29556
HOHJAR,C1=CC(=CN=C1)C(=O)O,Fe,4.866666667,77.46190551,-4.326530612,-12.20408163,6.612244898,14.48752834,-3.169501134,25.32871978,-76.6296337,-126.5633675,87.63283563,-0.249644898,-13.41592119,-0.575725027,-0.373469388,-3.129332876,23.35832815,0,0,3.08212963,26,55.84,194,4.06,8.4,15,7.902,7.874,0.14234
HOJLID,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.63456
HOJNOL,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,0.02656
HOJNUR,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,0.02648
HOJNUR01,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,0.00916
HOJPAZ,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,0.0266
HOJPED,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,0.0262
HOJPIH,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,0.01752
HONBES,C1=CN=CC=C1CCCC2=CC=NC=C2,Mn,1.902298851,145.894488,-25.91676576,-32.25208086,-3.405469679,-0.70699564,-3.123728366,76.88580041,182.2579589,-320.3481131,172.4550225,0.026475149,-2.986244747,-0.288318895,0.159334126,-4.781989446,-13.24990373,0,0,8.303765432,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.66226
HOQMIL,C1=CN=CC=C1C2=CC=NC=C2,Mg,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.31944
HOQMIL01,C1=CN=CC=C1C2=CC=NC=C2,Mg,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.2988
HOQMIL02,C1=CN=CC=C1C2=CC=NC=C2,Mg,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.31122
HOQMIL03,C1=CN=CC=C1C2=CC=NC=C2,Mg,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.306
HOQMIL04,C1=CN=CC=C1C2=CC=NC=C2,Mg,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.30794
HOQMOR,C1=CN=CC=C1C2=CC=NC=C2,Mg,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.28314
HOQMUX,C1=CN=CC=C1C2=CC=NC=C2,Mg,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.23224
HOQNEI,C1=CN=CC=C1C2=CC=NC=C2,Mg,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.27788
HORBAU,C(=O)O,Fe,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,26,55.84,194,4.06,8.4,15,7.902,7.874,0.0247
HORQOX,C1=CC=C2C(=C1)C(=CC=C2C(=O)O)C(=O)O,Cd,5.182222222,130.6515115,14.88888889,-12.77777778,35.66666667,36.66666667,-3.444444444,-310.886279,-55.760216,-109.2228995,-493.3278434,-1.067288889,-2.779407101,-0.837606838,-0.768888889,0.202953053,26.48408176,0,0,9.193949358,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.12664
HOVGIK,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Cd,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.3288
HOWPOZ,C1=CN=CC(=C1C(=O)O)C(=O)O,Cd,12.08333333,71.54870985,0.788927336,-21.42906574,18.71280277,27.17377932,-19.48173779,-14.6617404,-149.0975894,-30.12566296,-105.3155015,-1.08829308,-11.03563284,-0.603030665,0.094146482,-0.123804066,23.35832815,0,0,1.14462963,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.36924
HOWPUF,C1=CN=CC(=C1C(=O)O)C(=O)O,Zn,12.08333333,71.54870985,0.788927336,-21.42906574,18.71280277,27.17377932,-19.48173779,-14.6617404,-149.0975894,-30.12566296,-105.3155015,-1.08829308,-11.03563284,-0.603030665,0.094146482,-0.123804066,23.35832815,0,0,1.14462963,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.4575
HOWQOA,C1=CN=CC(=C1C(=O)O)C(=O)O,Zn,12.08333333,71.54870985,0.788927336,-21.42906574,18.71280277,27.17377932,-19.48173779,-14.6617404,-149.0975894,-30.12566296,-105.3155015,-1.08829308,-11.03563284,-0.603030665,0.094146482,-0.123804066,23.35832815,0,0,1.14462963,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.34432
HOXKUB,C1=C(SC(=C1)C(=O)O)C(=O)O,Yb,5.619047619,144.6504787,6.536296296,-34.58864198,-30.04246914,33.76701875,-31.83165219,17.1281794,289.8112614,15.3797224,-8.112786327,-1.919036,-18.63677144,-0.574554906,-0.58680776,2.971853306,93.98528538,9.754294387,0,2.548518519,70,173.05,242,3.1,21,-2,6.254,6.9,0.15992
HOXSIY,C1=CC(=CC=C1C2=CC(=CC(=C2)C(=O)O)C(=O)O)C(=O)O,Zn,4.387152778,200.9464196,3.511966701,-55.38189386,-75.10093652,54.8314256,-3.199676263,472.9017234,151.7267787,-127.6428303,314.4336725,-3.170322477,-17.78670351,-0.692790248,0.916915973,0.654011749,7.934098653,0,11.12690298,9.47030712,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.12564
HOYQIX,C1=CC(=CC=C1C2=CC(=CC(=C2)C(=O)O)C(=O)O)C(=O)O,Cu,4.387152778,200.9464196,3.511966701,-55.38189386,-75.10093652,54.8314256,-3.199676263,472.9017234,151.7267787,-127.6428303,314.4336725,-3.170322477,-17.78670351,-0.692790248,0.916915973,0.654011749,7.934098653,0,11.12690298,9.47030712,29,63.55,140,4.48,6.7,119,7.726,8.933,0.55754
HOYXIF,C1=CN=CC=N1,Co,1,146.7274789,-21.44,-12.88,0,-3.44,-1.68,98.028002,0,-134.3050881,128.2032447,0.137984,9.291412193,0.44,4.84,-10.856572,23.35832815,0,0,0,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.2413
HUDMOK,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.68976
HUFLUR,C1(=C(C(=C(C(=C1F)F)C(=O)O)F)F)C(=O)O,Ca,27.33816425,173.7125213,-3.530864198,-14.48148148,8.62962963,-14.94375857,-91.93004115,-40.05604524,-265.8298615,-3.909604166,-39.74826508,1.789088889,-43.23549187,0.81558642,-0.251744498,-0.375275485,13.34851208,11.12690298,0,0,20,40.08,231,2.2,22.8,2,6.113,1.54,0.18986
HUFMUS,C1(=C(C(=C(C(=C1F)F)C(=O)O)F)F)C(=O)O,Sr,27.33816425,173.7125213,-3.530864198,-14.48148148,8.62962963,-14.94375857,-91.93004115,-40.05604524,-265.8298615,-3.909604166,-39.74826508,1.789088889,-43.23549187,0.81558642,-0.251744498,-0.375275485,13.34851208,11.12690298,0,0,38,87.62,249,2,27.6,5,5.695,2.64,0.20974
HULRIR,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cd,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.3743
HUPTER,C1=CN=C(C(=N1)C(=O)O)C(=O)O,La,13.18333333,78.97914722,4.34375,-2.484375,34.171875,20.09722222,-13.49305556,-207.1988978,-265.4805638,-63.90082401,-336.5172832,0.125284375,9.881502715,-0.370738636,-1.534375,0.471322222,23.35832815,0,0,0,57,138.9055,240,3.1,31.1,45,5.577,6.15,0.06364
HUPTIV,C1=CN=C(C(=N1)C(=O)O)C(=O)O,Pr,13.18333333,78.97914722,4.34375,-2.484375,34.171875,20.09722222,-13.49305556,-207.1988978,-265.4805638,-63.90082401,-336.5172832,0.125284375,9.881502715,-0.370738636,-1.534375,0.471322222,23.35832815,0,0,0,59,140.90766,239,3.1,28.2,93,5.464,6.77,0.02886
HUPTOB,C1=CN=C(C(=N1)C(=O)O)C(=O)O,Eu,13.18333333,78.97914722,4.34375,-2.484375,34.171875,20.09722222,-13.49305556,-207.1988978,-265.4805638,-63.90082401,-336.5172832,0.125284375,9.881502715,-0.370738636,-1.534375,0.471322222,23.35832815,0,0,0,63,151.964,233,3.1,27.7,83,5.67,5.24,0.03888
HURFEH,C1=C(C=C(C=C1C(=O)O)N)C(=O)O,Zn,7.862068966,106.0322075,9.01,-33.17,13.5,36.64555556,-16.68555556,235.4877128,-522.9619364,4.290158193,-355.2791089,-1.7113,-16.76817217,-0.12,0.445172414,4.203716805,69.38641121,0,0,3.46287037,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.48528
HURGEH,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Co,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.49398
HUSPUI,C1=CN=CC=C1C2=CC=NC=C2,Cu,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,29,63.55,140,4.48,6.7,119,7.726,8.933,0.05348
HUTZAX01,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Zn,3.81712963,185.3665294,1.750297265,-61.79310345,34.89179548,36.66115075,-6.680076628,-113.0903355,355.1154057,-315.5260643,121.3910449,-3.370697979,-13.30086095,-1.511296076,-0.034284582,-0.011326782,-1.016590183,11.49902367,11.49902367,11.88033846,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.12954
HUWLES,C(=O)(C(=O)O)O,Mn,1,146.7274789,5.5,-6.5,0,2.722222222,21.83333333,104.9856391,0,-88.06441393,69.19802825,-1.506975,0.069150389,-6.5625,14.0625,5.4849955,23.35832815,0,0,0,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.74974
HUYJOA,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Ni,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,28,58.693,163,4.4,6.8,112,7.64,8.912,0.05586
HUYXOP,C(=O)O,Ni,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,28,58.693,163,4.4,6.8,112,7.64,8.912,0.06032
HUYXUV,C(=O)O,Co,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.06778
HUYYAC,C(=O)O,Cu,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,0.12534
IBABOF,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Co,4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.39986
IBABOF01,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Co,4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.40104
IBABUL,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Co,4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.40718
IBACAS,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Co,4.588374486,209.0327739,21.77777778,-3.555555556,140.4444444,52.30013086,6.780330881,-297.1101868,929.853764,-155.6229214,270.910299,-4.989431217,-24.47663291,-1.444444444,-1.125925926,2.85108185,-0.95090704,0,0,9.574319938,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.4024
IBOTIC,C1=CN=CC=C1C2=CC=NC=C2,La,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,57,138.9055,240,3.1,31.1,45,5.577,6.15,0.48438
IBUBIT,C1=NC=NN1,Zn,6.089439787,146.7274789,-17.75,-13.75,0,-2.73828125,-1.81640625,0,0,-44.18353857,0,0.3240125,-0.600939763,6.25,0.983015531,-11.37954215,23.35832815,12.65464015,0,0,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.46904
IBUYAH,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.07176
ICITEU,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Fe,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,26,55.84,194,4.06,8.4,15,7.902,7.874,0.70864
ICOWON,C(CCC(=O)O)CC(=O)O,La,4.127572016,123.3797369,15.52,-42.97,58.3,47.08666667,-34.35888889,-112.6919219,-175.0118944,-413.8339992,21.53607572,-1.009616,-1.811831412,-0.74,-1.345555556,0.891151629,-17.76143433,0,0,0,57,138.9055,240,3.1,31.1,45,5.577,6.15,0.34578
IDAGEA,C1=CN=CC=C1C2=CC=NC=C2,Cu,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,29,63.55,140,4.48,6.7,119,7.726,8.933,0.36822
IDAGUR,C1=CN=CC=C1C2=CC=NC=C2,Mn,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.2474
IDAZAQ,C(=C/C(=O)O)\C(=O)O,Nd,21.79166667,82.01363063,0,-44,9,27.50617284,-42.7654321,269.7211129,-219.2622782,-206.4246725,22.25755962,-1.2638,-3.07852192,-0.166666667,4.625,2.041973111,23.35832815,0,0,0,60,144.24,229,3.1,31.4,185,5.525,7.01,0.10308
IDEYOF,C1=CN=CC=C1C2=CC=NC=C2,Ni,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,28,58.693,163,4.4,6.8,112,7.64,8.912,0.66006
IDEYOF,C1=CN=CC=C1C2=CC=NC=C2,Ni,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,28,58.693,163,4.4,6.8,112,7.64,8.912,0.66006
IDIWOH,C1=CC(=CC=C1C(=O)O)C(=O)O,V,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,23,50.9415,179,3.6,12.4,51,6.746,6,0.51042
