AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
4.075757576,3.111111111,-49.77777778,34.0,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,11.89993819,62.0,150.4,229.0,3.1,28.8,16.0,5.644,7.52,78.13,47.2,-1.3,0.43,189.0,0.62732
4.075757576,3.111111111,-49.77777778,34.0,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,11.89993819,63.0,151.964,233.0,3.1,27.7,83.0,5.67,5.24,78.13,47.2,-1.3,0.43,189.0,0.62716
4.075757576,3.111111111,-49.77777778,34.0,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,11.89993819,64.0,157.2,237.0,3.1,23.5,13.0,6.15,7.9,78.13,47.2,-1.3,0.43,189.0,0.62608
4.208994709,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,9.148454271,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.3609
4.208994709,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,9.148454271,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,78.11,2.2,2.13,0.16,80.1,0.37476
27.33816425,-3.530864198,-14.48148148,8.62962963,-14.94375857,-91.93004115,-40.05604524,-265.8298615,-3.909604166,-39.74826508,1.789088889,-43.23549187,0.81558642,-0.251744498,-0.375275485,13.34851208,0.0,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,0.3356
27.33816425,-3.530864198,-14.48148148,8.62962963,-14.94375857,-91.93004115,-40.05604524,-265.8298615,-3.909604166,-39.74826508,1.789088889,-43.23549187,0.81558642,-0.251744498,-0.375275485,13.34851208,0.0,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,78.11,2.2,2.13,0.16,80.1,0.44498
6.939393939,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,2.699722222,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,17.03,22.2,-0.23,0.3,-33.34,0.28266
5.956521739,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,5.195555556,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,89.13,37.7,-0.55,0.2,174.0,0.16762
6.089439787,-8.64,-1.12,0.0,-2.16,-2.88,0.0,0.0,-82.42248586,0.0,0.0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0.0,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,0.37,153.0,0.29352
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,31.06,5.1,0.23,0.19,-6.3,0.5714
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,45.09,3.9,0.67,0.2,3.2,0.57274
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.13068
6.083333333,-6.326530612,-20.7755102,0.0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,2.893518519,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,0.26036
6.083333333,-6.326530612,-20.7755102,0.0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,2.893518519,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,0.24776
6.939393939,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,2.699722222,67.0,164.93033,216.0,3.1,23.6,33.0,6.022,8.8,73.09,36.7,-0.85,0.37,153.0,0.38694
6.939393939,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,2.699722222,69.0,168.93422,227.0,3.1,21.8,99.0,6.184,9.32,73.09,36.7,-0.85,0.37,153.0,0.3628
6.222222222,-4.211072664,-30.1349481,-11.15570934,27.39600154,-14.94579008,268.30865,-142.4357142,-30.12566296,91.82694363,-1.284416609,-24.15715809,-0.47321322,1.258362168,-0.123804066,79.5168395,1.053240741,12.0,24.305,173.0,3.75,10.6,-40.0,7.646,1.74,73.09,36.7,-0.85,0.37,153.0,0.23812
6.939393939,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,2.699722222,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,46.07,24.3,-0.31,0.3,78.37,0.35164
5.694444444,1.3125,-34.875,39.625,34.36805556,-29.76388889,-37.844126,-60.35677856,-322.1088313,9.583532402,-0.66429375,-2.061937685,-0.421875,-0.78125,-0.841463322,-9.68713117,0.0,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.14664
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,21.0,44.95591,211.0,3.34,17.8,18.0,6.561,2.99,16.04,32.7,-0.24,0.18,-161.5,0.04476
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,21.0,44.95591,211.0,3.34,17.8,18.0,6.561,2.99,16.04,32.7,-0.24,0.18,-161.5,0.04496
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,21.0,44.95591,211.0,3.34,17.8,18.0,6.561,2.99,16.04,32.7,-0.24,0.18,-161.5,0.0454
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,21.0,44.95591,211.0,3.34,17.8,18.0,6.561,2.99,16.04,32.7,-0.24,0.18,-161.5,0.00318
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.31546
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,0.61078
