code,SMILES,Metal,AATS4dv,AATS4s,AATS0i,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC4dv,AATSC5dv,AATSC4Z,AATSC0v,AATSC1v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Density
ACOLIP,C1=CC(=C(C=C1C(=O)O)N)C(=O)O,Zn,5.725,6.172222222,163.0911809,175.1344561,14.01,-34.97,158.2,-403.3543722,-578.3171355,-54.96179564,-0.4656,2.26333397,-1.0925,-0.913030303,-1.47,42.37728459,9.038133208,30.24642141,6.824833415,0.6652,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.0495
ADAXEK,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.26342
ADAXIO,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.28062
AFEHUO,C1=CN=CC=C1C2=CC=NC=C2,Cu,3.294117647,2.490196078,158.4882451,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,-0.325294118,0.585,-1.160588235,50.28462104,-1.071597631,22.73366526,0,2.1436,29,63.55,140,4.48,6.7,119,7.726,8.933,0.915349
AFITEP,C1=CN=CC=C1C2=CC=NC=C2,Zn,3.294117647,2.490196078,158.4882451,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,-0.325294118,0.585,-1.160588235,50.28462104,-1.071597631,22.73366526,0,2.1436,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.06929
AFOROD,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.318
AFOTOF,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Eu,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,63,151.964,233,3.1,27.7,83,5.67,5.24,1.17091
AFOTUL,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Sm,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,62,150.4,229,3.1,28.8,16,5.644,7.52,1.15518
AFOVAT,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,La,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,57,138.9055,240,3.1,31.1,45,5.577,6.15,1.13673
AFOVEX,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Ce,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,58,140.116,235,3.1,29.6,635,5.539,6.77,1.11606
