code,SMILES,Metal,AATS4dv,AATS4s,AATS0i,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC4dv,AATSC5dv,AATSC4Z,AATSC0v,AATSC1v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Density
EKAQIR,C1=CN=C(C(=N1)C(=O)O)C(=O)O,Nd,13.09090909,8.909090909,166.5451258,179.7962178,4.34375,-2.484375,111.75,35.24716763,-270.0807714,-336.5172832,-2.22050625,1.709824727,-0.370738636,-1.534375,0.015625,33.8779033,3.085965766,31.52025,6.833332039,-0.127,60,144.24,229,3.1,31.4,185,5.525,7.01,2.36225
EKAQIR01,C1=CN=C(C(=N1)C(=O)O)C(=O)O,Nd,13.09090909,8.909090909,166.5451258,179.7962178,4.34375,-2.484375,111.75,35.24716763,-270.0807714,-336.5172832,-2.22050625,1.709824727,-0.370738636,-1.534375,0.015625,33.8779033,3.085965766,31.52025,6.833332039,-0.127,60,144.24,229,3.1,31.4,185,5.525,7.01,2.35729
EKARUE,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Cu,11.15384615,7.141025641,160.87749,171.0133921,10.23611111,-54.52083333,173.8333333,-222.0114448,-557.533204,-141.9674605,1.709758333,12.00939528,-0.957799145,0.902369281,-1.714209402,35.18924871,9.094236488,28.45859248,13.69989652,0.4794,29,63.55,140,4.48,6.7,119,7.726,8.933,1.64177
EKEHUZ,C1CN2CCN1CC2,Zn,0,1.25,170.1129043,169.7560012,-30.18,-40.65,133.8,-627.9220571,-527.9556377,726.9504707,0,0,0.11,1.21,-0.84,47.29517787,-4.715638742,11.3575496,0,-0.3824,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.65228
ELOZOW,C1=C(SC(=C1)C(=O)O)C(=O)O,Cd,8.947368421,6.986354776,156.638113,177.2356928,6.536296296,-34.58864198,215.7333333,-301.222032,-357.3657579,-8.112786327,2.851008,5.342441632,-0.574554906,-0.58680776,-7.392748538,42.01586201,8.94936665,35.50134612,6.816819862,1.1445,48,112.41,158,4.33,7.2,-70,8.994,8.69,1.1199
EMAMIQ,C(=C/C(=O)O)\C=C\C(=O)O,Ni,4.5,5,163.2548245,169.1825683,1.3125,-34.875,135.75,-133.6042903,10.2500609,9.583532402,-1.23140625,2.142741284,-0.421875,-0.78125,-0.196875,42.71128639,2.83550119,23.390875,6.757084721,0.268,28,58.693,163,4.4,6.8,112,7.64,8.912,1.21798
EMAMOW,C(=C/C(=O)O)\C=C\C(=O)O,Ni,4.5,5,163.2548245,169.1825683,1.3125,-34.875,135.75,-133.6042903,10.2500609,9.583532402,-1.23140625,2.142741284,-0.421875,-0.78125,-0.196875,42.71128639,2.83550119,23.390875,6.757084721,0.268,28,58.693,163,4.4,6.8,112,7.64,8.912,1.22409
EMAMUC,C(=C/C(=O)O)\C=C\C(=O)O,Ni,4.5,5,163.2548245,169.1825683,1.3125,-34.875,135.75,-133.6042903,10.2500609,9.583532402,-1.23140625,2.142741284,-0.421875,-0.78125,-0.196875,42.71128639,2.83550119,23.390875,6.757084721,0.268,28,58.693,163,4.4,6.8,112,7.64,8.912,1.33775
EMUBIZ,C1=C(C=NC=C1C(=O)O)C(=O)O,Cu,8.206896552,6.900383142,162.6584682,174.5860367,-4.211072664,-30.1349481,126.9411765,-476.228019,4.899709962,91.82694363,1.075936332,4.96450468,-0.47321322,1.258362168,-1.39004892,38.72707241,4.373896611,33.19105079,6.828547389,0.478,29,63.55,140,4.48,6.7,119,7.726,8.933,1.43788
EMUTUD,C1=CC=C2C(=C1)C(=CC=C2C(=O)O)C(=O)O,Eu,6.923076923,4.927350427,155.944943,167.3620175,14.88888889,-12.77777778,173.3333333,1.319498307,-591.311751,-493.3278434,-1.527833333,13.83633736,-0.837606838,-0.768888889,-1.055555556,45.02791735,5.667693064,25.13285217,6.862458426,2.2362,63,151.964,233,3.1,27.7,83,5.67,5.24,1.60094
EMUVAL,C1=CC=C2C(=C1)C(=CC=C2C(=O)O)C(=O)O,Sm,6.923076923,4.927350427,155.944943,167.3620175,14.88888889,-12.77777778,173.3333333,1.319498307,-591.311751,-493.3278434,-1.527833333,13.83633736,-0.837606838,-0.768888889,-1.055555556,45.02791735,5.667693064,25.13285217,6.862458426,2.2362,62,150.4,229,3.1,28.8,16,5.644,7.52,1.59615
EMUWIU,C1=C(SC(=C1)C(=O)O)C(=O)O,Zn,8.947368421,6.986354776,156.638113,177.2356928,6.536296296,-34.58864198,215.7333333,-301.222032,-357.3657579,-8.112786327,2.851008,5.342441632,-0.574554906,-0.58680776,-7.392748538,42.01586201,8.94936665,35.50134612,6.816819862,1.1445,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.42388
EPAVAU,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Tb,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,65,158.92535,221,3.1,25.5,112,5.864,8.23,1.75941
EPEWAY,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.27095
EPEWAY01,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.28071
EPEWEC,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.27191
EPUVUH,C1C2CC3(CC1CC(C2)(C3)CC(=O)O)CC(=O)O,Zn,1.527272727,1.901346801,163.5599781,172.1835937,-21.65927978,-44.32132964,293.2631579,-2256.686219,1357.65758,-1482.261359,2.377264266,11.7593537,0.441400151,-0.472760849,2.180156132,49.61259166,5.529512153,23.68572537,6.821367947,2.5224,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.47669
EPUXET,C1C2CC3(CC1CC(C2)(C3)CC(=O)O)CC(=O)O,Cd,1.527272727,1.901346801,163.5599781,172.1835937,-21.65927978,-44.32132964,293.2631579,-2256.686219,1357.65758,-1482.261359,2.377264266,11.7593537,0.441400151,-0.472760849,2.180156132,49.61259166,5.529512153,23.68572537,6.821367947,2.5224,48,112.41,158,4.33,7.2,-70,8.994,8.69,1.25583
EQEROJ,C1(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Zn,8.6,6.259259259,165.721098,181.2099848,0,-80,208,-233.4219903,-144.9043356,-144.3917518,-0.4828,7.288704339,-0.6,2.076923077,-1.166666667,38.11370535,7.871119627,25.00348062,13.68624277,-1.1968,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.47108
EQOCES01,C1=CN=CN1,Co,0,1,171.3926447,169.7560012,-15,-14,66,-184.8704272,156.766852,0,0,0,4,0.983015531,9,45.11253556,-4.605803873,23.44582195,0,0.4097,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.09166
ERANOB,C(=C/C(=O)O)\C(=O)O,Ni,7.333333333,6.277777778,165.721098,185.1842767,0,-44,104,-133.043857,12.7780432,22.25755962,-1.5052,0.597289909,-0.166666667,4.625,-1,38.11370535,4.185616201,25.00348062,6.735810142,-0.2882,28,58.693,163,4.4,6.8,112,7.64,8.912,1.41344
ESATAU,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)C(=O)O,Zn,7,4.683760684,155.944943,163.5220512,8.888888889,-15.11111111,173.3333333,-223.8079151,-499.9364179,4.007188169,-2.132677778,1.373824218,-0.042735043,0.857487923,-0.606837607,45.02791735,5.667693064,25.13285217,6.858226959,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.63498
ESECOW,C1=CN=CC=C1C2=NC(=NC(=N2)C3=CC=NC=C3)C4=CC=NC=C4,Co,7.130434783,3.280193237,160.2430725,149.5113998,-9,-3,225,-124.3567046,47.75527573,619.5860344,-1.00695,1.555658253,-0.315217391,-0.295454545,-0.358695652,45.17018207,-1.852831985,26.09480132,0,3.0576,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.06031
ESEDIQ,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,5.307692308,4.363247863,155.944943,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,-0.811965812,0.706349206,-1.888888889,45.02791735,5.667693064,25.13285217,6.848610706,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.83454
ESEHIV,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cu,8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,29,63.55,140,4.48,6.7,119,7.726,8.933,1.28146
ESEQUO,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.35458
ESUQUG,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Co,5.285714286,4.60515873,156.9501357,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-1.511296076,-0.034284582,-2.297010362,45.3051226,3.515795889,27.72198532,8.902059979,2.8753,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.33194
ETECAJ,C(=O)(C(=O)O)O,Bi,0,6.5,170.6536449,169.7560012,5.5,-6.5,65.5,-122.1472391,-27.16540678,69.19802825,0,0,-6.5625,14.0625,-10.6875,28.80745518,7.564172981,22.5085,6.650711829,-0.8444,83,208.9804,207,4.69,7.4,91,7.289,9.807,2.57752
ETECIR,C(=O)(C(=O)O)O,In,0,6.5,170.6536449,169.7560012,5.5,-6.5,65.5,-122.1472391,-27.16540678,69.19802825,0,0,-6.5625,14.0625,-10.6875,28.80745518,7.564172981,22.5085,6.650711829,-0.8444,49,114.818,193,3.1,9.7,29,5.786,7.31,1.44521
ETECOX,C(=O)(C(=O)O)O,In,0,6.5,170.6536449,169.7560012,5.5,-6.5,65.5,-122.1472391,-27.16540678,69.19802825,0,0,-6.5625,14.0625,-10.6875,28.80745518,7.564172981,22.5085,6.650711829,-0.8444,49,114.818,193,3.1,9.7,29,5.786,7.31,1.49754
ETEJUJ,C1=C(C(=CC(=C1O)C(=O)O)O)C(=O)O,Sm,9.4,9.055555556,161.8284238,174.4868462,3.08,-39.83,157.8,-361.7364237,-525.6095415,-40.33740763,-2.239168,3.574934718,-0.21,-0.244545455,-0.57,38.65938397,10.26209748,29.50728067,10.35516291,0.4942,62,150.4,229,3.1,28.8,16,5.644,7.52,1.47781
ETEKAQ,C1=C(C(=CC(=C1O)C(=O)O)O)C(=O)O,Gd,9.4,9.055555556,161.8284238,174.4868462,3.08,-39.83,157.8,-361.7364237,-525.6095415,-40.33740763,-2.239168,3.574934718,-0.21,-0.244545455,-0.57,38.65938397,10.26209748,29.50728067,10.35516291,0.4942,64,157.2,237,3.1,23.5,13,6.15,7.9,1.4997
ETEKEU,C1=C(C(=CC(=C1O)C(=O)O)O)C(=O)O,Er,9.4,9.055555556,161.8284238,174.4868462,3.08,-39.83,157.8,-361.7364237,-525.6095415,-40.33740763,-2.239168,3.574934718,-0.21,-0.244545455,-0.57,38.65938397,10.26209748,29.50728067,10.35516291,0.4942,68,167.26,235,3.1,22.7,30,6.108,9.07,1.53088
ETEMIB,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Co,8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.43168
ETIXEM,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.32726
ETUWEW,C(=O)(C(=O)O)O,Sm,0,6.5,170.6536449,169.7560012,5.5,-6.5,65.5,-122.1472391,-27.16540678,69.19802825,0,0,-6.5625,14.0625,-10.6875,28.80745518,7.564172981,22.5085,6.650711829,-0.8444,62,150.4,229,3.1,28.8,16,5.644,7.52,1.65017
ETUWIA,C(=O)(C(=O)O)O,Y,0,6.5,170.6536449,169.7560012,5.5,-6.5,65.5,-122.1472391,-27.16540678,69.19802825,0,0,-6.5625,14.0625,-10.6875,28.80745518,7.564172981,22.5085,6.650711829,-0.8444,39,88.90584,219,3.19,22.7,30,6.217,4.47,1.40677
ETUWOG,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.5397
EVOMOR,C(CC(=O)O)C(=O)O,Mn,4.888888889,5.685185185,168.4634628,185.1842767,4.816326531,-69.40816327,131.4285714,-161.2722825,27.53220453,98.47365813,-1.427755102,0.438825239,-0.816326531,5.369387755,-2.181405896,40.59679061,1.171632505,23.39163772,6.735810142,-0.0642,25,54.93804,197,3.72,9.4,-50,7.434,7.3,1.25352
EVOMOR01,C(CC(=O)O)C(=O)O,Mn,4.888888889,5.685185185,168.4634628,185.1842767,4.816326531,-69.40816327,131.4285714,-161.2722825,27.53220453,98.47365813,-1.427755102,0.438825239,-0.816326531,5.369387755,-2.181405896,40.59679061,1.171632505,23.39163772,6.735810142,-0.0642,25,54.93804,197,3.72,9.4,-50,7.434,7.3,1.25991
EWASIG,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Eu,7.7,4.858333333,157.6910737,155.9380745,2,-72,248,-759.8481655,10.48444149,370.5888096,2.212167474,14.31855002,-0.475,1.162162162,-1.45,40.7487866,7.137168855,27.40525765,13.70205868,2.1464,63,151.964,233,3.1,27.7,83,5.67,5.24,1.30205
EWASIG01,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Eu,7.7,4.858333333,157.6910737,155.9380745,2,-72,248,-759.8481655,10.48444149,370.5888096,2.212167474,14.31855002,-0.475,1.162162162,-1.45,40.7487866,7.137168855,27.40525765,13.70205868,2.1464,63,151.964,233,3.1,27.7,83,5.67,5.24,1.30436
EWIMON,C(=O)(C(=O)O)O,Mn,0,6.5,170.6536449,169.7560012,5.5,-6.5,65.5,-122.1472391,-27.16540678,69.19802825,0,0,-6.5625,14.0625,-10.6875,28.80745518,7.564172981,22.5085,6.650711829,-0.8444,25,54.93804,197,3.72,9.4,-50,7.434,7.3,1.08954
EWOFIH02,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Eu,5.285714286,4.60515873,156.9501357,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-1.511296076,-0.034284582,-2.297010362,45.3051226,3.515795889,27.72198532,8.902059979,2.8753,63,151.964,233,3.1,27.7,83,5.67,5.24,1.38446
EXABUB,C1=CC(=CC=C1C(=O)O)C(=O)O,Sm,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,62,150.4,229,3.1,28.8,16,5.644,7.52,1.69819
EXACAI,C1=CC(=CC=C1C(=O)O)C(=O)O,Eu,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,63,151.964,233,3.1,27.7,83,5.67,5.24,1.71143
EXACAI01,C1=CC(=CC=C1C(=O)O)C(=O)O,Eu,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,63,151.964,233,3.1,27.7,83,5.67,5.24,1.71572
EXACEM,C1=CC(=CC=C1C(=O)O)C(=O)O,Gd,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,64,157.2,237,3.1,23.5,13,6.15,7.9,1.76033
EXACIQ,C1=CC(=CC=C1C(=O)O)C(=O)O,Tb,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,65,158.92535,221,3.1,25.5,112,5.864,8.23,1.76396
EXACOW,C1=CC(=CC=C1C(=O)O)C(=O)O,Dy,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,66,162.5,229,3.1,24.5,34,5.939,8.55,1.77294
EXACUC,C1=CC(=CC=C1C(=O)O)C(=O)O,Ho,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,67,164.93033,216,3.1,23.6,33,6.022,8.8,1.78512
EXADAJ,C1=CC(=CC=C1C(=O)O)C(=O)O,Er,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,68,167.26,235,3.1,22.7,30,6.108,9.07,1.8135
EXEQII,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Sc,7.7,4.858333333,157.6910737,155.9380745,2,-72,248,-759.8481655,10.48444149,370.5888096,2.212167474,14.31855002,-0.475,1.162162162,-1.45,40.7487866,7.137168855,27.40525765,13.70205868,2.1464,21,44.95591,211,3.34,17.8,18,6.561,2.99,1.02043
EXIDOF,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Co,11.15384615,7.141025641,160.87749,171.0133921,10.23611111,-54.52083333,173.8333333,-222.0114448,-557.533204,-141.9674605,1.709758333,12.00939528,-0.957799145,0.902369281,-1.714209402,35.18924871,9.094236488,28.45859248,13.69989652,0.4794,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.03591
EXOFIH,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,In,11.15384615,7.141025641,160.87749,171.0133921,10.23611111,-54.52083333,173.8333333,-222.0114448,-557.533204,-141.9674605,1.709758333,12.00939528,-0.957799145,0.902369281,-1.714209402,35.18924871,9.094236488,28.45859248,13.69989652,0.4794,49,114.818,193,3.1,9.7,29,5.786,7.31,1.78046
EXOJAC,C1=CN=CC=C1CCC2=CC=NC=C2,Cu,1.703703704,1.969135802,160.1163163,160.2661121,-32.1183432,-38.14792899,172.6153846,-444.3049007,-627.7720807,674.3291608,-0.207481657,-20.64813252,-0.080648696,0.468639053,-0.952443568,52.40379981,-0.718313901,23.59893902,0,2.2618,29,63.55,140,4.48,6.7,119,7.726,8.933,1.02712
EXOVAP,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Pb,8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,82,207,202,3.9,6.8,34,7.417,11.342,2.25149
EXOYIA,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Eu,6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,63,151.964,233,3.1,27.7,83,5.67,5.24,1.68887
EXOYOG,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Gd,6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,64,157.2,237,3.1,23.5,13,6.15,7.9,1.70698
EXOYUM,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Tb,6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,65,158.92535,221,3.1,25.5,112,5.864,8.23,1.71594
EXUHEM,C1CC(CCC1C(=O)O)C(=O)O,Cd,1.696969697,3.612794613,165.632159,174.4275962,22.55555556,-37.47222222,203.3333333,-400.4185127,-402.6188913,279.5326761,-0.268666667,1.312761789,-1.164141414,-0.858585859,-1.482323232,46.38898917,3.190896767,22.74207534,6.827180347,0.962,48,112.41,158,4.33,7.2,-70,8.994,8.69,1.1948
EXUYEC,C1=CC=C2C(=C1)C(=CC=C2C(=O)O)C(=O)O,Mg,6.923076923,4.927350427,155.944943,167.3620175,14.88888889,-12.77777778,173.3333333,1.319498307,-591.311751,-493.3278434,-1.527833333,13.83633736,-0.837606838,-0.768888889,-1.055555556,45.02791735,5.667693064,25.13285217,6.862458426,2.2362,12,24.305,173,3.75,10.6,-40,7.646,1.74,1.09569
EYULOA,C1=C(SC(=C1)C(=O)O)C(=O)O,Co,8.947368421,6.986354776,156.638113,177.2356928,6.536296296,-34.58864198,215.7333333,-301.222032,-357.3657579,-8.112786327,2.851008,5.342441632,-0.574554906,-0.58680776,-7.392748538,42.01586201,8.94936665,35.50134612,6.816819862,1.1445,27,58.93319,192,4.3,7.5,64,7.881,8.86,1.26506
EZOXAU,C1=CN=CC=C1C2=CC=NC=C2,Cu,3.294117647,2.490196078,158.4882451,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,-0.325294118,0.585,-1.160588235,50.28462104,-1.071597631,22.73366526,0,2.1436,29,63.55,140,4.48,6.7,119,7.726,8.933,1.83268
FABFOF,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Zn,11.15384615,7.141025641,160.87749,171.0133921,10.23611111,-54.52083333,173.8333333,-222.0114448,-557.533204,-141.9674605,1.709758333,12.00939528,-0.957799145,0.902369281,-1.714209402,35.18924871,9.094236488,28.45859248,13.69989652,0.4794,30,65.4,139,4.45,6.4,-60,9.394,7.134,1.0758
FAFGAU,C(CC(=O)O)CC(=O)O,Nd,2.222222222,4.127572016,167.9481259,178.7720847,11.88927336,-54.35294118,155.7647059,-148.8894545,35.20524829,13.27482913,3.516550865,1.919941941,-1.293348712,-0.744329104,-0.796616686,42.78332994,0.360561241,24.13678236,6.749993194,0.3259,60,144.24,229,3.1,31.4,185,5.525,7.01,1.99393
FAFMAA,C1(=C(C(=O)C1=O)O)O,Zn,7.5,14.16666667,161.8817872,169.7560012,1.28,9.88,65.6,-216.6322378,-82.63378003,103.2881151,0,0,-2.76,-0.76,-4.31,30.19776182,11.33441226,26.48298308,6.908609699,-1.3062,30,65.4,139,4.45,6.4,-60,9.394,7.134,2.01624
FAFMAC,C1N2CN3CN1CN(C2)C3,Ag,0.16,1.37,173.8517369,184.917652,-32.08264463,-14.87603306,161.4545455,-2132.365294,1343.731288,-645.1347763,0.739130579,0,-0.284297521,-0.79338843,1.330247934,44.68381928,-8.206706873,12.88455021,0,-1.0198,47,107.868,172,4.44,7.9,126,7.576,10.501,1.31981
FAGBOF,C1=CN=CC=C1CCCC2=CC=NC=C2,Ag,1.333333333,1.880070547,160.6777201,163.9321569,-25.91676576,-32.25208086,192.5517241,-372.5024683,-588.0280101,172.4550225,0.051761712,8.781807898,-0.288318895,0.159334126,-0.732763339,52.83150211,-0.600644385,24.24728209,0,2.6519,47,107.868,172,4.44,7.9,126,7.576,10.501,1.27535
FAHBIC,C(=O)O,Dy,6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,66,162.5,229,3.1,24.5,34,5.939,8.55,2.13778
FAHFUR,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Be,8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,4,9.012183,153,4.9,5.6,-50,9.323,1.85,0.954153
FAHQIQ,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,49,114.818,193,3.1,9.7,29,5.786,7.31,0.426588
FAKPEO,C1=CN=C(C(=N1)C(=O)O)C(=O)O,Ag,13.09090909,8.909090909,166.5451258,179.7962178,4.34375,-2.484375,111.75,35.24716763,-270.0807714,-336.5172832,-2.22050625,1.709824727,-0.370738636,-1.534375,0.015625,33.8779033,3.085965766,31.52025,6.833332039,-0.127,47,107.868,172,4.44,7.9,126,7.576,10.501,1.59516
