mof,AATS8Z,ATSC2d,ATSC4d,ATSC8d,ATSC1p,ATSC3p,ATSC1i,AATSC0m,AATSC7i,GATS3c,GATS8c,GATS4dv,GATS1p,SpMAD_Dzm,MINdO,AETA_eta_FL,ZMIC1,piPC10,GGI10,Diameter,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
RUVKAV_clean,25.63157895,-8.570637119,-2.542936288,6,2.131633444,-4.044724866,12.80268274,30.98079731,0.246099651,0.615796991,0.43711161,1.173861941,0.676825338,8.990790765,11.05181198,0.298075587,65.36727185,8.067893744,0.148964391,13,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,85,12,1.25232
EXAXAE_clean,1,-4.335640138,0.567474048,0.498269896,0.512871546,-3.044781431,-0.439374212,34.82995965,0.827417447,0.788266834,0,1.226578961,0.892131128,4.085904574,10.34281557,0.304844413,28.40322139,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,85,24,0.4101464
QIPROY_clean,18.30769231,-14.0166205,12.05540166,-7.180055402,-2.188532708,-9.255047153,-25.36836491,34.62219215,0.68227307,1.308694273,1.105913194,1.322687719,1.189785294,9.519021032,10.85259827,0.299456242,73.07149612,6.506157682,0.097949189,12,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,85,24,0.631486
BAZFUF_clean,16.81818182,-12.11418685,7.152249135,7.837370242,2.04876031,-3.769315624,12.38648055,32.94325277,-0.330574364,0.573957074,0.79091139,1.075410922,0.757516053,9.615210349,11.19423781,0.302594029,94.96151371,8.707717989,0.297520661,14,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,2.46885
BAZGEQ_clean,19.89830508,-16.34911243,6.523668639,16.12278107,1.871982895,-5.684038385,5.154344461,31.55214939,-0.260295484,0.641172246,0.911054416,1.162029423,0.787998649,14.23589522,11.28190082,0.310602614,137.3371196,9.330584266,0.396082032,22,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,2.41276
FAGQAI_clean,20.27777778,-14.48476454,6.789473684,-3.897506925,2.049284497,-4.196558838,12.48000348,30.5734314,0.01523011,0.629002102,0.410090056,1.231190832,0.698652488,11.99712773,11.07361549,0.306098565,97.28531318,8.943179623,0.433731252,18,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,1.50951
OYIVEY_clean,21.76923077,-5.222222222,0.444444444,-0.888888889,1.298208997,-1.567765462,22.23202881,37.07038491,-0.255428034,0.707480503,2.136819723,0.999577033,0.787580453,5.172512818,10.57756755,0.243556339,30.17506355,4.274928499,0,8,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,96,0.444419
BINROH_clean,17.6779661,-16.06616257,2.625708885,-7.950850662,2.587954934,-5.473522893,15.55713156,31.38006423,0.051225577,0.555863249,0.352520302,1.011741891,0.717445362,11.62585661,11.48174964,0.302319352,133.4277413,9.610258352,0.532292623,18,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,2,90,24,1.41995
FIGQUJ_clean,1,-3.76816609,1.166089965,0.169550173,0.110027846,-0.333143791,0.481795743,42.74078143,0.479985485,0.753719935,0,1.208096694,1.381760341,4.753447644,9.787861867,0.199607262,25.69179288,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,90,24,0.0906667
ANUGIA_clean,19.22377622,-12.32098765,7.827160494,-8.604938272,2.518709225,-4.531747941,15.22820837,33.2444885,-0.064194593,0.562234748,0.71550262,1.029946322,0.746918459,9.790975064,11.23856017,0.299293,102.103499,8.814755202,0.330374452,14,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,100,18,1.31267
ANUGOG_clean,19.22377622,-12.32098765,7.827160494,-8.604938272,2.518709225,-4.531747941,15.22820837,33.2444885,-0.064194593,0.562234748,0.71550262,1.029946322,0.746918459,9.790975064,11.23856017,0.299293,102.103499,8.814755202,0.330374452,14,29,63.546,140,4.48,6.7,119,7.726,8.933,99.131,202,32,-0.38,0,1,0.31,,100,18,1.26348
LENKIA_clean,8,-3.08,-7.4,1.96,1.534085493,-2.638470888,8.764936568,36.66212565,0.397214969,0.937721866,2.448472394,1.002665245,0.737240597,4.515574875,10.43659817,0.292136076,38.64260771,0,0,7,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,100,18,0.443762
SODQOT_clean,1,-4.836734694,-1.285714286,1.530612245,1.22017302,-2.855387314,7.048205643,35.1171682,1.00856117,0.597938845,0,1.210144928,0.793673939,4.855187367,10.56470522,0.29112234,43.31347594,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,87.12,165,37.8,-0.77,0,1,0.25,1,100,48,0.482908
MUNDEG_clean,18.96,-6.621399177,1.720164609,2.680384088,0.859577486,-3.189835381,2.601777249,33.84149785,-0.516919578,0.667443338,1.431218356,1.106340412,0.822043857,6.086981914,10.70210286,0.307280865,42.98647113,6.950088631,0,10,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,105,12,0.792551
UWALEL_clean,20.20512821,-7.835045971,1.517577069,-6.955110871,2.007942944,-3.872220537,9.514936249,33.21087936,0.153305757,0.583251496,0.777953819,1.101508247,0.767700942,8.436023139,11.32578576,0.299449969,75.74489272,8.179274284,0.281195796,12,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,105,72,0.44533
ADASIJ_clean,21.51785714,-15.1875,-8.25,7.5,1.996084405,-10.71806864,10.95828533,35.62107631,0.325589036,0.74745806,0.51949977,1.023802469,0.920692233,13.12421081,11.496124,0.287978015,104.8650406,7.814626789,0.470156107,16,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,115,23,1.14835
XARPAK_clean,18,-9.30898466,1.679327977,3.117604091,0.225054495,-3.330814167,-8.956641402,34.60814431,-0.292626835,0.727102858,0.979436255,1.059530058,0.944368182,8.102991504,10.86838121,0.289843255,51.17546485,7.056444644,0.099173554,14,29,63.546,140,4.48,6.7,119,7.726,8.933,99.131,202,32,-0.38,0,1,0.31,,120,20,0.384258
TUBJAD_clean,14.78571429,-4.3424,1.3328,-0.5248,-0.578358599,-3.209311218,-11.2856652,32.00988196,-0.634160813,0.996607213,0.824171351,1.267857143,1.005709853,5.69297507,11.55966884,0.332991826,38.84033063,6.123862485,0,10,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,14,120,24,0.150649
KUKPOX_clean,26.8,-5.176870748,0.544217687,1.233560091,-0.12508685,-1.576500935,-4.344610868,33.42286878,-1.278798976,0.718681007,1.796352953,1.078658184,0.969457309,4.678071273,10.56724143,0.316392887,31.21928988,5.88556135,0,8,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,120,72,0.240193
QIRWAR_clean,15.0001605,-0.428571429,-4.836734694,0,-0.241767083,-0.197852258,-9.100555028,34.55144829,0.486065928,0.903968296,1.147085137,1.171298668,1.161129045,3.50577766,10.13925926,0.29382249,21.9044245,0,0,5,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,120,72,0.318999
VICSIL_clean,1,-5.181818182,0.785123967,1.58677686,-0.054221117,-3.440589407,4.280932788,55.6760607,0.998475747,0.607612301,0.02105117,1.237112221,1.331203655,4.271580499,10.58553855,0.282315384,38.13194901,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,32.042,64.7,32.7,-0.77,1,1,0.32,14,130,24,0.329085
TORXIJ_clean,15.0001605,-0.408163265,0.510204082,0,-0.198654853,-0.288995428,-1.749438746,32.85428755,0.242079625,1.091886983,1.147085137,0,1.149130314,1.255258841,10.85259827,0.330775975,14.43782531,0,0,2,29,63.546,140,4.48,6.7,119,7.726,8.933,32.042,64.7,32.7,-0.77,1,1,0.32,14,130,72,0.0876227
QANSUV_clean,1,-3.923875433,0.373702422,0.678200692,0.773213643,-1.929407764,13.14231176,32.35069853,1.01244993,0.661781979,0.134029537,1.333790816,0.724490777,3.641620329,10.50809902,0.304539377,24.42162826,5.041962354,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,41.052,81.6,37.5,-0.34,0,1,0.26,,140,72,0.152976
RUPTED_clean,15.0001605,-2.218934911,-1.674556213,0,-0.193275295,-0.321503181,-8.609533699,34.23495084,0.565988507,0.760829538,1.147085137,1.163744871,1.065304738,3.025910575,10.09842593,0.327861611,22.22904234,0,0,5,29,63.546,140,4.48,6.7,119,7.726,8.933,41.052,81.6,37.5,-0.34,0,1,0.26,2.4,140,72,0.0386907
YIPDOR_clean,16.88,-9.125,0.875,0.625,-0.859057085,-4.258655471,-9.817319175,32.19924276,-0.336783822,0.683677942,0.855131417,0.880683901,1.023550843,8.671507925,10.85259827,0.306226346,51.91419037,7.65362091,0.079795939,15,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,140,120,1.63396
ZIQJEQ_clean,17.41666667,-6.835555556,1.893333333,-0.026666667,-1.16885684,-4.157724273,-15.1513442,33.2072028,0.18300506,0.708083427,0.977505506,0.83514944,1.145790233,6.602841355,10.85259827,0.304250539,38.3617684,6.710675351,0.013884298,11,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,2,140,120,0.91363
SUWQEI_clean,15.0001605,-2.32,-3.54,0,-0.312419267,-0.146509697,-6.672990632,31.17136264,1.924855082,0.904965454,1.147085137,0.891739675,0.9398942,3.991975457,10.85259827,0.336279042,31.98506523,5.731873777,0,7,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,2,150,72,0.567068
TORXAB_clean,15.0001605,-0.408163265,0,0,-0.198654853,0.086569208,-1.749438746,32.85428755,0.242079625,0.803090622,1.147085137,1.07858334,1.149130314,1.255258841,10.85259827,0.337119466,14.43782531,0,0,2,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,150,72,0.077474
WOSHET_clean,20.41269841,-3.129684711,-1.639500297,-3.014277216,-0.199735686,-1.400057735,-7.306105027,29.95510356,0.342217332,0.768528562,0.682750885,1.101916803,0.893761222,8.532492878,10.85259827,0.327697611,54.17868545,8.354604407,0.055308642,16,29,63.546,140,4.48,6.7,119,7.726,8.933,41.052,81.6,37.5,-0.34,0,1,0.26,11,150,72,0.0634991
COVYIX_clean,1,-4.111111111,-1.777777778,0.444444444,0.82618979,-2.226927701,4.879682183,36.15315736,1.084373818,0.633909222,0,1.278409091,0.825533373,4.157505902,10.38281557,0.298157506,33.93016113,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,11,160,96,0
GIKMOD_clean,1,-5.181818182,0.785123967,1.58677686,-0.054221117,-3.440589407,4.280932788,55.6760607,0.998475747,0.607612301,0.02105117,1.237112221,1.331203655,4.271580499,10.58553855,0.282315384,38.13194901,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,11,160,96,0.0230343
NETYIV_clean,15.0001605,-2.32,-3.54,0,-0.312419267,-0.146509697,-6.672990632,31.17136264,1.924855082,0.904965454,1.147085137,0.891739675,0.9398942,3.991975457,10.85259827,0.336279042,31.98506523,5.731873777,0,7,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,2,165,96,0.711584
DOKHIV_clean,1,-4.836734694,-1.285714286,1.530612245,1.22017302,-2.855387314,7.048205643,35.1171682,1.00856117,0.597938845,0,1.210144928,0.793673939,4.855187367,10.56470522,0.29112234,43.31347594,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,46.068,78.2,24.5,-0.31,1,1,0.3,,180,12,0.131828
DOKHOB_clean,15.0001605,-2.32,-3.54,0,-0.312419267,-0.146509697,-6.672990632,31.17136264,1.924855082,0.904965454,1.147085137,0.891739675,0.9398942,3.991975457,10.85259827,0.336279042,31.98506523,5.731873777,0,7,29,63.546,140,4.48,6.7,119,7.726,8.933,46.068,78.2,24.5,-0.31,1,1,0.3,,180,12,0.128479
AZAVUU_clean,18.45,-2.4,19.2,-19.2,4.096128214,-1.247519965,24.78154233,32.641811,-0.175750747,0.55723264,0.485615384,1.063968121,0.735230166,11.46158963,12.07987285,0.301112063,171.525739,10.06813695,1.486378941,15,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,180,24,0.263599
AZAWAB_clean,18.45,-2.4,19.2,-19.2,4.096128214,-1.247519965,24.78154233,32.641811,-0.175750747,0.55723264,0.485615384,1.063968121,0.735230166,11.46158963,12.07987285,0.301112063,171.525739,10.06813695,1.486378941,15,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,,180,24,0.297551
REYMOZ_clean,1,-4.836734694,-1.285714286,1.530612245,1.22017302,-2.855387314,7.048205643,35.1171682,1.00856117,0.597938845,0,1.210144928,0.793673939,4.855187367,10.56470522,0.29112234,43.31347594,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,180,24,0.74316
RIFGAQ_clean,1,-4.836734694,-1.285714286,1.530612245,1.22017302,-2.855387314,7.048205643,35.1171682,1.00856117,0.597938845,0,1.210144928,0.793673939,4.855187367,10.56470522,0.29112234,43.31347594,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,180,24,0.746557
ASUKEE01_clean,15.0001605,-2.32,-3.54,0,-0.312419267,-0.146509697,-6.672990632,31.17136264,1.924855082,0.904965454,1.147085137,0.891739675,0.9398942,3.991975457,10.85259827,0.336279042,31.98506523,5.731873777,0,7,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,7,180,72,0.116332
WEGKIE_clean,1,-4.836734694,-1.285714286,1.530612245,1.22017302,-2.855387314,7.048205643,35.1171682,1.00856117,0.597938845,0,1.210144928,0.793673939,4.855187367,10.56470522,0.29112234,43.31347594,0,0,6,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,14,180,72,0.464278
WURNOO_clean,22.30769231,-4.767361111,-1.626736111,-0.685763889,0.414690494,-1.272218524,0.163673221,33.12236148,-0.122149832,0.65728106,3.085541489,1.09034788,0.849689184,5.220608776,10.63873551,0.316205373,37.00025104,6.423399144,0,9,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,5,180,312,0.215206
FATQID_clean,18.13793103,-9.017531045,2.623813002,4.242512783,1.103211116,-3.495574228,4.432819452,32.93368441,-0.501123711,0.593750556,0.922216591,1.100790298,0.798815662,8.012427189,10.90914098,0.308499091,60.97575045,7.875588337,0.099173554,14,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,85,24,1.23136
GUCHUJ_clean,6.6,-0.875,-11.25,5.625,1.607785695,-1.434921216,9.126289891,33.54745824,0.545881603,0.654480144,2.065628301,1.043013891,0.767698689,5.365693136,10.77848781,0.288201079,54.15839793,0,0,7,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,14,150,24,0.230251
KIJRUS_clean,17.86554622,-17.28414901,13.24616508,5.072315559,2.929515384,-5.33360679,17.69268516,32.45833314,-0.219553259,0.566222073,0.647341026,1.043498656,0.747600418,12.06628554,11.50403418,0.302508192,139.2300039,9.357489365,0.396286093,17,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,60,48,0.913723
MOYYEF_clean,17.84615385,-6.265306122,-0.530612245,1.408163265,1.136916934,-2.346142607,6.872833699,34.22076092,-0.293694878,0.603189781,1.664756666,1.138695652,0.787196274,6.14006693,10.71444854,0.302822927,51.05277609,6.950088631,0,10,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,60,48,0.539228
ONIXOZ_clean,23.07272727,-12.96,8.64,-31.2,3.428810199,-5.970323615,20.61053292,33.23412061,0.256201671,0.552391461,0.607934899,0.98738868,0.72851842,10.15025376,11.72603076,0.294105668,118.2867643,9.01632129,0.843587389,12,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,0,65,48,0.633061
LUSYEF_clean,19.53448276,-5.12,-2.08,-2.96,2.520881487,-2.62294545,15.23683215,32.97478883,-0.08051331,0.539530935,0.975389022,1.01981785,0.727237108,8.933249993,11.54702344,0.298227077,96.18921547,8.930828478,0.148964391,13,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,70,48,0.893498
PELRIJ_clean,23.65217391,-16.93197279,6.503401361,-12.74829932,2.110173167,-7.126626862,10.37138019,33.79963494,0.180509783,0.778073004,0.512140316,1.135112782,0.817890207,12.58927834,11.09821039,0.303931194,100.8598597,7.731546876,0.507805326,18,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,70,48,1.41657
NUBPIL_clean,4.571428571,-4.8336,0.9376,5.0464,0.255129408,-2.289018009,-7.217512053,34.18868896,0.238366723,0.694804765,1.242530334,0.97540107,0.928306325,5.133509154,10.87974443,0.305087282,33.53817141,6.136257968,0,7,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,80,48,1.20289
