mof,AATS7d,AATS8d,AATS8m,AATS5p,ATSC2d,ATSC3p,AATSC6dv,AATSC2s,AATSC0Z,GATS3c,GATS2dv,GATS7m,GATS1se,SpMAD_Dzm,AXp-2dv,NaasC,AMID_h,piPC3,piPC10,GGI10,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
UWALEL_clean,2.869565217,2.948717949,74.85695836,1.515528466,-7.835045971,-3.872220537,0.03867507,1.069084331,7.079502434,0.583251496,0.62629256,1.226565768,0.861931466,8.436023139,0.13536422,8,0.526468736,5.02223443,8.179274284,0.281195796,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,105,72,0.978062
ADASIJ_clean,3.137931034,3.357142857,80.37975088,1.347492102,-15.1875,-10.71806864,-0.632415254,0.912704772,7.604166667,0.74745806,0.830693257,1.128632005,0.90156576,13.12421081,0.140179084,12,0.556975677,5.351858133,7.814626789,0.470156107,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,115,23,0.629251
XARPAK_clean,3.291666667,2.5,63.77916489,1.18120778,-9.30898466,-3.330814167,1.245366143,0.627914968,7.316289262,0.727102858,0.874564659,0.847657069,0.837879009,8.102991504,0.145234056,4,0.492728422,4.639571613,7.056444644,0.099173554,29,63.546,140,4.48,6.7,119,7.726,8.933,99.131,202,32,-0.38,0,1,0.31,,120,20,1.02109
TUBJAD_clean,2.961538462,2.428571429,51.88382943,1.480602503,-4.3424,-3.209311218,-0.89,-0.029839316,6.72,0.996607213,0.958333333,1.055690379,0.642742961,5.69297507,0.147210022,2,0.486895364,4.297285406,6.123862485,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,14,120,24,1.22218
KUKPOX_clean,3.222222222,1.6,98.5114116,1.063051071,-5.176870748,-1.576500935,1.444444444,0.499484642,7.079365079,0.718681007,0.840738209,0.764123115,0.806552542,4.678071273,0.136058845,2,0.686297678,4.243123698,5.88556135,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,120,72,1.44975
QIRWAR_clean,1,2.241404418,53.11604345,0.781884735,-0.428571429,-0.197852258,1.07755102,0.601521164,7.408163265,0.903968296,0.643784153,0,0.893629989,3.50577766,0.123944125,0,0.914732168,3.555348061,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,120,72,1.34872
VICSIL_clean,1,1,1.016064,1.266158656,-5.181818182,-3.440589407,1.476497934,2.324528782,12.56198347,0.607612301,0.472027027,1.586494027,0.873411317,4.271580499,0.177207246,3,0.877685732,4.21582446,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,32.042,64.7,32.7,-0.77,1,1,0.32,14,130,24,1.03603
TORXIJ_clean,2.336871941,2.241404418,53.11604345,1.221480226,-0.408163265,-0.288995428,0.413415537,-0.287414966,6.979591837,1.091886983,1.145061728,1.149391391,0.630109775,1.255258841,0.112007911,0,1.55,2.883403089,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,32.042,64.7,32.7,-0.77,1,1,0.32,14,130,72,2.01204
QANSUV_clean,1.5,1,1.016064,0.900958779,-3.923875433,-1.929407764,1.540224913,0.62777137,6.878892734,0.661781979,0.66826362,2.863500907,0.789340617,3.641620329,0.130493567,1,0.792093485,4.274928499,5.041962354,0,29,63.546,140,4.48,6.7,119,7.726,8.933,41.052,81.6,37.5,-0.34,0,1,0.26,,140,72,1.51592
RUPTED_clean,1,2.241404418,53.11604345,0.844222522,-2.218934911,-0.321503181,-1.686390533,0.573051355,7.301775148,0.760829538,0.831592689,0,0.932325614,3.025910575,0.126891406,1,0.821697514,3.548179572,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,41.052,81.6,37.5,-0.34,0,1,0.26,2.4,140,72,2.43056
YIPDOR_clean,2.966101695,3.04,61.97752276,1.357401928,-9.125,-4.258655471,-0.359932432,-0.02453373,6.7275,0.683677942,1.186472384,0.989363528,0.683917264,8.671507925,0.154999126,4,0.515716276,4.814214813,7.65362091,0.079795939,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,140,120,0.44826
ZIQJEQ_clean,2.641025641,2.916666667,62.96957633,1.293674171,-6.835555556,-4.157724273,-0.716521739,-0.030645774,6.96,0.708083427,1.217564542,0.962272655,0.708659377,6.602841355,0.153946856,2,0.687493099,4.442651256,6.710675351,0.013884298,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,2,140,120,0.629598
SUWQEI_clean,1.777777778,2.241404418,53.11604345,1.246162881,-2.32,-0.146509697,0.26,-0.097222222,6.49,0.904965454,1.17306231,1.144392997,0.766891116,3.991975457,0.154486091,2,0.333733701,4.085976313,5.731873777,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,2,150,72,0.818244
TORXAB_clean,2.336871941,2.241404418,53.11604345,1.221480226,-0.408163265,0.086569208,0.413415537,-0.140589569,6.979591837,0.803090622,0.918209877,1.149391391,0.630109775,1.255258841,0.112622333,0,1.55,2.883403089,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,150,72,1.88967
WOSHET_clean,3.606557377,3.46031746,75.67218394,1.429829662,-3.129684711,-1.400057735,-0.264767773,-0.037430479,6.280785247,0.768528562,0.814075973,1.023952844,0.837534376,8.532492878,0.134310966,8,0.660085826,5.120983351,8.354604407,0.055308642,29,63.546,140,4.48,6.7,119,7.726,8.933,41.052,81.6,37.5,-0.34,0,1,0.26,11,150,72,1.5953
COVYIX_clean,1,1,1.016064,0.946005319,-4.111111111,-2.226927701,0.485890653,1.284214414,7.728395062,0.633909222,0.590034965,1.956906782,0.879500501,4.157505902,0.136944358,2,0.569045616,3.876395828,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,11,160,96,1.88268
GIKMOD_clean,1,1,1.016064,1.266158656,-5.181818182,-3.440589407,1.476497934,2.324528782,12.56198347,0.607612301,0.472027027,1.586494027,0.873411317,4.271580499,0.177207246,3,0.877685732,4.21582446,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,11,160,96,1.91107
NETYIV_clean,1.777777778,2.241404418,53.11604345,1.246162881,-2.32,-0.146509697,0.26,-0.097222222,6.49,0.904965454,1.17306231,1.144392997,0.766891116,3.991975457,0.154486091,2,0.333733701,4.085976313,5.731873777,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,2,165,96,0.781018
